Word Pair,Count
"('Prima', 'cominciare')",1
"('cominciare', 'giornata')",1
"('Decameron', 'cominciare')",1
"('cominciare', 'dimostrazione')",1
"('Prima', 'giornata')",1
"('Decameron', 'Prima')",1
"('Prima', 'dimostrazione')",1
"('Decameron', 'giornata')",1
"('dimostrazione', 'giornata')",1
"('Decameron', 'dimostrazione')",1
"('autore', 'fare')",1
"('cagione', 'fare')",2
"('avvenire', 'fare')",2
"('dovere', 'fare')",8
"('fare', 'persona')",8
"('fare', 'mostrare')",3
"('autore', 'cagione')",1
"('autore', 'avvenire')",1
"('autore', 'dovere')",1
"('autore', 'persona')",1
"('autore', 'mostrare')",1
"('avvenire', 'cagione')",1
"('cagione', 'dovere')",1
"('cagione', 'persona')",1
"('cagione', 'mostrare')",2
"('avvenire', 'dovere')",1
"('avvenire', 'persona')",1
"('avvenire', 'mostrare')",1
"('dovere', 'persona')",2
"('dovere', 'mostrare')",2
"('mostrare', 'persona')",1
"('ragionare', 'ragunare')",2
"('ragunare', 'reggimento')",1
"('Pampinea', 'ragunare')",1
"('ragionare', 'reggimento')",2
"('Pampinea', 'ragionare')",3
"('ragionare', 'ragionare')",1
"('Pampinea', 'reggimento')",1
"('grazioso', 'volta')",1
"('donna', 'volta')",5
"('pensare', 'volta')",1
"('riguardo', 'volta')",1
"('donna', 'grazioso')",2
"('grazioso', 'pensare')",1
"('grazioso', 'riguardo')",1
"('donna', 'pensare')",1
"('donna', 'riguardo')",1
"('pensare', 'riguardo')",1
"('essere', 'pietoso')",2
"('conoscere', 'essere')",11
"('essere', 'presente')",5
"('conoscere', 'pietoso')",1
"('pietoso', 'presente')",1
"('conoscere', 'presente')",1
"('opera', 'vostro')",1
"('iudicio', 'opera')",1
"('avere', 'opera')",1
"('grave', 'opera')",1
"('noioso', 'opera')",1
"('opera', 'principio')",1
"('essere', 'opera')",1
"('doloroso', 'opera')",1
"('iudicio', 'vostro')",1
"('avere', 'vostro')",5
"('grave', 'vostro')",1
"('noioso', 'vostro')",1
"('principio', 'vostro')",1
"('essere', 'vostro')",11
"('doloroso', 'vostro')",1
"('avere', 'iudicio')",1
"('grave', 'iudicio')",1
"('iudicio', 'noioso')",1
"('iudicio', 'principio')",1
"('essere', 'iudicio')",1
"('doloroso', 'iudicio')",1
"('avere', 'grave')",2
"('avere', 'noioso')",1
"('avere', 'principio')",2
"('avere', 'essere')",42
"('avere', 'doloroso')",1
"('grave', 'noioso')",1
"('grave', 'principio')",1
"('essere', 'grave')",1
"('doloroso', 'grave')",1
"('noioso', 'principio')",1
"('essere', 'noioso')",1
"('doloroso', 'noioso')",1
"('essere', 'principio')",2
"('doloroso', 'principio')",1
"('doloroso', 'essere')",1
"('pestifero', 'ricordazione')",1
"('mortalità', 'ricordazione')",1
"('ricordazione', 'trapassato')",1
"('mortalità', 'pestifero')",1
"('pestifero', 'trapassato')",1
"('mortalità', 'trapassato')",1
"('conoscere', 'vedere')",1
"('dannoso', 'vedere')",1
"('portare', 'vedere')",1
"('suo', 'vedere')",5
"('fronte', 'vedere')",1
"('conoscere', 'dannoso')",1
"('conoscere', 'portare')",1
"('conoscere', 'suo')",4
"('conoscere', 'fronte')",1
"('dannoso', 'portare')",1
"('dannoso', 'suo')",1
"('dannoso', 'fronte')",1
"('portare', 'suo')",1
"('fronte', 'portare')",1
"('fronte', 'suo')",1
"('non', 'volere')",20
"('leggere', 'non')",2
"('non', 'spaventare')",2
"('leggere', 'volere')",1
"('spaventare', 'volere')",1
"('leggere', 'spaventare')",1
"('sospiro', 'tralle')",1
"('lagrima', 'sospiro')",1
"('leggere', 'sospiro')",1
"('dobbiate', 'sospiro')",1
"('sospiro', 'trapassare')",1
"('lagrima', 'tralle')",1
"('leggere', 'tralle')",1
"('dobbiate', 'tralle')",1
"('tralle', 'trapassare')",1
"('lagrima', 'leggere')",1
"('dobbiate', 'lagrima')",1
"('lagrima', 'trapassare')",1
"('dobbiate', 'leggere')",1
"('leggere', 'trapassare')",1
"('dobbiate', 'trapassare')",1
"('cominciamento', 'orrido')",1
"('fia', 'orrido')",1
"('non', 'orrido')",1
"('camminare', 'orrido')",1
"('montagna', 'orrido')",1
"('cominciamento', 'fia')",1
"('cominciamento', 'non')",1
"('camminare', 'cominciamento')",1
"('cominciamento', 'montagna')",1
"('fia', 'non')",2
"('camminare', 'fia')",1
"('fia', 'montagna')",1
"('camminare', 'non')",1
"('montagna', 'non')",1
"('camminare', 'montagna')",1
"('aspro', 'erta')",1
"('aspro', 'bello')",1
"('aspro', 'piano')",1
"('aspro', 'dilettevole')",1
"('aspro', 'essere')",1
"('aspro', 'reposto')",1
"('bello', 'erta')",1
"('erta', 'piano')",1
"('dilettevole', 'erta')",1
"('erta', 'essere')",1
"('erta', 'reposto')",1
"('bello', 'piano')",1
"('bello', 'dilettevole')",2
"('bello', 'essere')",16
"('bello', 'reposto')",1
"('dilettevole', 'piano')",1
"('essere', 'piano')",1
"('piano', 'reposto')",1
"('dilettevole', 'essere')",1
"('dilettevole', 'reposto')",1
"('essere', 'reposto')",1
"('piacevole', 'venire')",1
"('maggiore', 'venire')",1
"('essere', 'venire')",21
"('salire', 'venire')",1
"('maggiore', 'piacevole')",1
"('essere', 'piacevole')",8
"('piacevole', 'salire')",1
"('essere', 'maggiore')",8
"('maggiore', 'salire')",1
"('essere', 'essere')",108
"('essere', 'salire')",2
"('gravezza', 'smontare')",1
"('allegrezza', 'estremità')",1
"('dolore', 'estremità')",1
"('allegrezza', 'dolore')",1
"('miseria', 'occupare')",1
"('letizia', 'occupare')",1
"('essere', 'occupare')",1
"('occupare', 'terminare')",1
"('letizia', 'miseria')",1
"('essere', 'miseria')",4
"('miseria', 'terminare')",1
"('essere', 'letizia')",2
"('letizia', 'terminare')",1
"('essere', 'terminare')",1
"('dire', 'noia')",1
"('lettera', 'noia')",1
"('contenere', 'noia')",1
"('noia', 'seguire')",2
"('dire', 'lettera')",1
"('contenere', 'dire')",1
"('dire', 'seguire')",4
"('contenere', 'lettera')",1
"('lettera', 'seguire')",1
"('contenere', 'seguire')",1
"('dolcezza', 'piacere')",1
"('avere', 'dolcezza')",1
"('dolcezza', 'promesso')",1
"('avere', 'piacere')",6
"('piacere', 'promesso')",1
"('avere', 'promesso')",2
"('essere', 'non')",140
"('fare', 'non')",32
"('inizio', 'non')",2
"('non', 'non')",16
"('dire', 'non')",43
"('aspettare', 'non')",6
"('essere', 'fare')",69
"('essere', 'inizio')",1
"('dire', 'essere')",67
"('aspettare', 'essere')",2
"('fare', 'inizio')",1
"('dire', 'fare')",23
"('aspettare', 'fare')",2
"('dire', 'inizio')",1
"('aspettare', 'inizio')",1
"('aspettare', 'dire')",1
"('potere', 'vero')",1
"('avere', 'vero')",2
"('parte', 'vero')",2
"('menare', 'vero')",1
"('avere', 'potere')",26
"('parte', 'potere')",3
"('menare', 'potere')",1
"('avere', 'parte')",2
"('avere', 'menare')",1
"('menare', 'parte')",1
"('aspro', 'desiderare')",1
"('desiderare', 'sentiero')",1
"('desiderare', 'fia')",1
"('avere', 'desiderare')",1
"('desiderare', 'fare')",1
"('aspro', 'sentiero')",1
"('aspro', 'fia')",1
"('aspro', 'avere')",1
"('aspro', 'fare')",1
"('fia', 'sentiero')",1
"('avere', 'sentiero')",1
"('fare', 'sentiero')",1
"('avere', 'fia')",1
"('fare', 'fia')",1
"('avere', 'fare')",61
"('cagione', 'essere')",2
"('cosa', 'essere')",53
"('cagione', 'cosa')",2
"('avvenire', 'leggere')",1
"('leggere', 'potere')",1
"('leggere', 'ramemorazion')",1
"('dimostrare', 'leggere')",1
"('avvenire', 'non')",8
"('avvenire', 'potere')",6
"('avvenire', 'ramemorazion')",1
"('avvenire', 'dimostrare')",1
"('non', 'potere')",26
"('non', 'ramemorazion')",1
"('dimostrare', 'non')",1
"('potere', 'ramemorazion')",1
"('dimostrare', 'potere')",1
"('dimostrare', 'ramemorazion')",1
"('necessità', 'scrivere')",1
"('condurre', 'necessità')",1
"('condurre', 'scrivere')",1
"('anno', 'dire')",1
"('dire', 'fruttifero')",1
"('dire', 'incarnazione')",1
"('anno', 'essere')",9
"('essere', 'fruttifero')",1
"('essere', 'incarnazione')",1
"('anno', 'fruttifero')",1
"('anno', 'incarnazione')",1
"('fruttifero', 'incarnazione')",1
"('Dio', 'Figliuolo')",1
"('Figliuolo', 'numero')",1
"('Figliuolo', 'pervenire')",1
"('Dio', 'numero')",1
"('Dio', 'pervenire')",1
"('numero', 'pervenire')",1
"('città', 'egregio')",1
"('Fiorenza', 'egregio')",1
"('egregio', ""ogn'"")",1
"('altro', 'egregio')",1
"('egregio', 'italico')",1
"('bello', 'egregio')",1
"('egregio', 'pervenire')",1
"('Fiorenza', 'città')",1
"('città', ""ogn'"")",1
"('altro', 'città')",1
"('città', 'italico')",1
"('bello', 'città')",1
"('città', 'pervenire')",1
"('Fiorenza', ""ogn'"")",1
"('Fiorenza', 'altro')",1
"('Fiorenza', 'italico')",1
"('Fiorenza', 'bello')",1
"('Fiorenza', 'pervenire')",1
"('altro', ""ogn'"")",1
"('italico', ""ogn'"")",1
"('bello', ""ogn'"")",1
"(""ogn'"", 'pervenire')",1
"('altro', 'italico')",1
"('altro', 'bello')",1
"('altro', 'pervenire')",1
"('bello', 'italico')",1
"('italico', 'pervenire')",1
"('bello', 'pervenire')",1
"('mortifero', 'pestilenza')",1
"('mortifero', 'operazion')",1
"('de', 'mortifero')",1
"('corpo', 'mortifero')",1
"('mortifero', 'superiore')",1
"('mortifero', 'nostro')",1
"('operazion', 'pestilenza')",1
"('de', 'pestilenza')",1
"('corpo', 'pestilenza')",1
"('pestilenza', 'superiore')",1
"('nostro', 'pestilenza')",1
"('de', 'operazion')",1
"('corpo', 'operazion')",1
"('operazion', 'superiore')",1
"('nostro', 'operazion')",1
"('corpo', 'de')",4
"('de', 'superiore')",1
"('de', 'nostro')",3
"('corpo', 'superiore')",1
"('corpo', 'nostro')",2
"('nostro', 'superiore')",1
"('iniquo', 'opera')",1
"('iniquo', 'ira')",1
"('Dio', 'iniquo')",1
"('iniquo', 'nostro')",1
"('correzione', 'iniquo')",1
"('iniquo', 'mandare')",1
"('iniquo', 'mortale')",1
"('ira', 'opera')",1
"('Dio', 'opera')",1
"('nostro', 'opera')",2
"('correzione', 'opera')",1
