Word Pair,Count
"('Nona', 'finire')",1
"('finire', 'giornata')",1
"('Decameron', 'finire')",1
"('finire', 'incominciare')",1
"('Decima', 'finire')",1
"('finire', 'ultimo')",1
"('Nona', 'giornata')",1
"('Decameron', 'Nona')",1
"('Nona', 'incominciare')",1
"('Decima', 'Nona')",1
"('Nona', 'ultimo')",1
"('Decameron', 'giornata')",1
"('giornata', 'incominciare')",1
"('Decima', 'giornata')",1
"('giornata', 'ultimo')",1
"('Decameron', 'incominciare')",1
"('Decameron', 'Decima')",1
"('Decameron', 'ultimo')",1
"('Decima', 'incominciare')",1
"('incominciare', 'ultimo')",1
"('Decima', 'ultimo')",1
"('Panfilo', 'reggimento')",1
"('ragionare', 'reggimento')",1
"('reggimento', 'vero')",1
"('Panfilo', 'ragionare')",1
"('Panfilo', 'vero')",1
"('ragionare', 'vero')",1
"('cosa', 'operare')",5
"('cosa', 'fatto')",4
"('amore', 'cosa')",4
"('cosa', 'cosa')",2
"('fatto', 'operare')",1
"('amore', 'operare')",1
"('amore', 'fatto')",2
"('eran', 'vermiglio')",1
"('eran', 'nuvoletti')",1
"('eran', 'occidente')",1
"('eran', 'essere')",2
"('nuvoletti', 'vermiglio')",1
"('occidente', 'vermiglio')",1
"('essere', 'vermiglio')",2
"('nuvoletti', 'occidente')",1
"('essere', 'nuvoletti')",1
"('essere', 'occidente')",1
"('loro', 'oriente')",1
"('estremità', 'oriente')",1
"('oriente', 'simile')",1
"('oriente', 'oro')",1
"('lucente', 'oriente')",1
"('divenire', 'oriente')",1
"('oriente', 'solare')",1
"('estremità', 'loro')",1
"('loro', 'simile')",1
"('loro', 'oro')",1
"('loro', 'lucente')",1
"('divenire', 'loro')",1
"('loro', 'solare')",1
"('estremità', 'simile')",1
"('estremità', 'oro')",1
"('estremità', 'lucente')",1
"('divenire', 'estremità')",1
"('estremità', 'solare')",1
"('oro', 'simile')",1
"('lucente', 'simile')",1
"('divenire', 'simile')",1
"('simile', 'solare')",1
"('lucente', 'oro')",1
"('divenire', 'oro')",1
"('oro', 'solare')",1
"('divenire', 'lucente')",1
"('lucente', 'solare')",1
"('divenire', 'solare')",1
"('loro', 'raggio')",1
"('avvicinare', 'raggio')",1
"('ferieno', 'raggio')",1
"('Panfilo', 'raggio')",1
"('levare', 'raggio')",1
"('avvicinare', 'loro')",1
"('ferieno', 'loro')",1
"('Panfilo', 'loro')",1
"('levare', 'loro')",2
"('avvicinare', 'ferieno')",1
"('Panfilo', 'avvicinare')",1
"('avvicinare', 'levare')",1
"('Panfilo', 'ferieno')",1
"('ferieno', 'levare')",1
"('Panfilo', 'levare')",1
"('donna', 'essere')",54
"('donna', 'suo')",36
"('compagno', 'donna')",2
"('donna', 'fare')",14
"('chiamare', 'donna')",6
"('essere', 'suo')",108
"('compagno', 'essere')",12
"('essere', 'fare')",81
"('chiamare', 'essere')",12
"('compagno', 'suo')",8
"('fare', 'suo')",51
"('chiamare', 'suo')",7
"('compagno', 'fare')",3
"('chiamare', 'compagno')",1
"('chiamare', 'fare')",12
"('andare', 'diliberato')",2
"('diliberato', 'potere')",1
"('diliberato', 'lor')",1
"('diletto', 'diliberato')",1
"('diliberato', 'lento')",1
"('diliberato', 'passo')",1
"('diliberato', 'mettere')",1
"('andare', 'potere')",3
"('andare', 'lor')",1
"('andare', 'diletto')",1
"('andare', 'lento')",1
"('andare', 'passo')",1
"('andare', 'mettere')",4
"('lor', 'potere')",1
"('diletto', 'potere')",1
"('lento', 'potere')",1
"('passo', 'potere')",1
"('mettere', 'potere')",1
"('diletto', 'lor')",1
"('lento', 'lor')",1
"('lor', 'passo')",1
"('lor', 'mettere')",1
"('diletto', 'lento')",1
"('diletto', 'passo')",1
"('diletto', 'mettere')",1
"('lento', 'passo')",1
"('lento', 'mettere')",1
"('mettere', 'passo')",1
"('Filomena', 'accompagnare')",1
"('Fiammetta', 'accompagnare')",1
"('accompagnare', 'tutto')",1
"('Fiammetta', 'Filomena')",1
"('Filomena', 'tutto')",1
"('Fiammetta', 'tutto')",1
"('cosa', 'seguire')",1
"('loro', 'seguire')",2
"('futuro', 'seguire')",1
"('seguire', 'vita')",1
"('parlare', 'seguire')",1
"('dire', 'seguire')",1
"('cosa', 'loro')",2
"('cosa', 'futuro')",1
"('cosa', 'vita')",3
"('cosa', 'parlare')",4
"('cosa', 'dire')",12
"('futuro', 'loro')",1
"('loro', 'vita')",1
"('loro', 'parlare')",1
"('dire', 'loro')",2
"('futuro', 'vita')",1
"('futuro', 'parlare')",1
"('dire', 'futuro')",1
"('parlare', 'vita')",1
"('dire', 'vita')",1
"('dire', 'parlare')",4
"('lungo', 'rispondere')",1
"('rispondere', 'spazio')",1
"('diportando', 'rispondere')",1
"('dare', 'rispondere')",1
"('rispondere', 'volta')",1
"('lungo', 'spazio')",1
"('diportando', 'lungo')",1
"('dare', 'lungo')",1
"('lungo', 'volta')",1
"('diportando', 'spazio')",1
"('dare', 'spazio')",1
"('spazio', 'volta')",1
"('dare', 'diportando')",1
"('diportando', 'volta')",1
"('dare', 'volta')",1
"('cominciare', 'lungo')",1
"('lungo', 'sole')",1
"('lungo', 'riscaldare')",1
"('lungo', 'palagio')",1
"('lungo', 'ritornare')",1
"('cominciare', 'sole')",1
"('cominciare', 'riscaldare')",1
"('cominciare', 'palagio')",2
"('cominciare', 'ritornare')",1
"('riscaldare', 'sole')",1
"('palagio', 'sole')",1
"('ritornare', 'sole')",1
"('palagio', 'riscaldare')",1
"('riscaldare', 'ritornare')",1
"('palagio', 'ritornare')",1
"('chiaro', 'fonte')",1
"('chiaro', 'fare')",3
"('chiaro', 'risciacquare')",1
"('bicchiere', 'chiaro')",1
"('chiaro', 'volere')",1
"('fare', 'fonte')",1
"('fonte', 'risciacquare')",1
"('bicchiere', 'fonte')",1
"('fonte', 'volere')",1
"('fare', 'risciacquare')",1
"('bicchiere', 'fare')",1
"('fare', 'volere')",29
"('bicchiere', 'risciacquare')",1
"('risciacquare', 'volere')",1
"('bicchiere', 'volere')",1
"('bere', 'piacevole')",1
"('bere', 'ombra')",1
"('bere', 'giardino')",1
"('ombra', 'piacevole')",1
"('giardino', 'piacevole')",1
"('giardino', 'ombra')",1
"('andare', 'mangiare')",2
"('mangiare', 'sollazzare')",1
"('andare', 'sollazzare')",1
"('dormire', 'mangiare')",1
"('fare', 'soleano')",1
"('fare', 're')",14
"('fare', 'piacere')",11
"('fare', 'ragunarono')",1
"('fare', 'primo')",3
"('fare', 'ragionamento')",1
"('re', 'soleano')",1
"('piacere', 'soleano')",1
"('ragunarono', 'soleano')",1
"('primo', 'soleano')",1
"('ragionamento', 'soleano')",1
"('piacere', 're')",9
"('ragunarono', 're')",1
"('primo', 're')",1
"('ragionamento', 're')",1
"('piacere', 'ragunarono')",1
"('piacere', 'primo')",1
"('piacere', 'ragionamento')",1
"('primo', 'ragunarono')",1
"('ragionamento', 'ragunarono')",1
"('primo', 'ragionamento')",2
"('comandare', 're')",5
"('Neifile', 'comandare')",1
"('comandare', 'cominciare')",1
"('Neifile', 're')",1
"('cominciare', 're')",1
"('Neifile', 'cominciare')",1
"('cavaliere', 'servire')",1
"('cavaliere', 're')",7
"('Spagna', 'cavaliere')",1
"('cavaliere', 'pargli')",1
"('cavaliere', 'essere')",10
"('cavaliere', 'guiderdonato')",1
"('re', 'servire')",3
"('Spagna', 'servire')",1
"('pargli', 'servire')",1
"('essere', 'servire')",8
"('guiderdonato', 'servire')",1
"('Spagna', 're')",5
"('pargli', 're')",2
"('essere', 're')",42
"('guiderdonato', 're')",2
"('re', 're')",3
"('Spagna', 'pargli')",1
"('Spagna', 'essere')",3
"('Spagna', 'guiderdonato')",1
"('essere', 'pargli')",1
"('guiderdonato', 'pargli')",1
"('essere', 'guiderdonato')",1
"('certo', 'mostra')",1
"('certo', 'non')",5
"('certo', 'essere')",6
"('certo', 'colpa')",1
"('certo', 'suo')",1
"('certo', 'malvagio')",1
"('certo', 'fortuna')",1
"('mostra', 'non')",1
"('essere', 'mostra')",2
"('colpa', 'mostra')",1
"('mostra', 'suo')",3
"('malvagio', 'mostra')",1
"('fortuna', 'mostra')",1
"('essere', 'non')",161
"('colpa', 'non')",1
"('non', 'suo')",39
"('malvagio', 'non')",2
"('fortuna', 'non')",6
"('colpa', 'essere')",2
"('essere', 'malvagio')",1
"('essere', 'fortuna')",8
"('colpa', 'suo')",1
"('colpa', 'malvagio')",1
"('colpa', 'fortuna')",1
"('malvagio', 'suo')",1
"('fortuna', 'suo')",6
"('fortuna', 'malvagio')",1
"('grande', 'grazia')",1
"('grande', 'onorabile')",1
"('donna', 'grande')",10
"('grande', 'reputare')",1
"('dovere', 'grande')",2
"('grande', 'nostro')",1
"('grande', 're')",8
"('grazia', 'onorabile')",1
"('donna', 'grazia')",2
"('grazia', 'reputare')",1
"('dovere', 'grazia')",1
"('grazia', 'nostro')",1
"('grazia', 're')",1
"('donna', 'onorabile')",1
"('onorabile', 'reputare')",1
"('dovere', 'onorabile')",1
"('nostro', 'onorabile')",1
"('onorabile', 're')",1
"('donna', 'reputare')",1
"('donna', 'dovere')",4
"('donna', 'nostro')",1
"('donna', 're')",5
"('dovere', 'reputare')",1
"('nostro', 'reputare')",1
"('re', 'reputare')",1
"('dovere', 'nostro')",1
"('dovere', 're')",2
"('nostro', 're')",3
"('cosa', 'essere')",63
"('cosa', 'raccontare')",4
"('cosa', 'magnificenzia')",1
"('avere', 'cosa')",27
"('cosa', 'preporre')",1
"('essere', 'raccontare')",3
"('essere', 'magnificenzia')",6
"('avere', 'essere')",110
