First Word,Second Word,Similarity
morte,morte,1.0
morte,morire,0.909
morte,inferno,0.897
morte,paradiso,0.931
morte,martiro,0.915
morte,tomba,0.91
morte,sepolto,0.886
morte,lutto,0.936
morire,morte,0.909
morire,morire,1.0
morire,inferno,0.891
morire,paradiso,0.872
morire,martiro,0.881
morire,tomba,0.891
morire,sepolto,0.856
morire,lutto,0.909
inferno,morte,0.897
inferno,morire,0.891
inferno,inferno,1.0
inferno,paradiso,0.96
inferno,martiro,0.983
inferno,tomba,0.99
inferno,sepolto,0.985
inferno,lutto,0.984
paradiso,morte,0.931
paradiso,morire,0.872
paradiso,inferno,0.96
paradiso,paradiso,1.0
paradiso,martiro,0.966
paradiso,tomba,0.965
paradiso,sepolto,0.971
paradiso,lutto,0.969
martiro,morte,0.915
martiro,morire,0.881
martiro,inferno,0.983
martiro,paradiso,0.966
martiro,martiro,1.0
martiro,tomba,0.995
martiro,sepolto,0.976
martiro,lutto,0.99
tomba,morte,0.91
tomba,morire,0.891
tomba,inferno,0.99
tomba,paradiso,0.965
tomba,martiro,0.995
tomba,tomba,1.0
tomba,sepolto,0.982
tomba,lutto,0.991
sepolto,morte,0.886
sepolto,morire,0.856
sepolto,inferno,0.985
sepolto,paradiso,0.971
sepolto,martiro,0.976
sepolto,tomba,0.982
sepolto,sepolto,1.0
sepolto,lutto,0.978
lutto,morte,0.936
lutto,morire,0.909
lutto,inferno,0.984
lutto,paradiso,0.969
lutto,martiro,0.99
lutto,tomba,0.991
lutto,sepolto,0.978
lutto,lutto,1.0
