First Word,Second Word,Similarity
morte,Dio,0.73
morte,Cristo,0.923
morte,spirito,0.87
morte,anima,0.829
morte,santo,0.62
morte,fé,0.844
morte,cielo,0.798
morte,padre,0.749
morte,figlio,0.745
morte,divino,0.664
morte,paradiso,0.931
morte,angelo,0.867
morte,Maria,0.913
morte,pregare,0.952
morire,Dio,0.683
morire,Cristo,0.941
morire,spirito,0.896
morire,anima,0.77
morire,santo,0.618
morire,fé,0.81
morire,cielo,0.845
morire,padre,0.621
morire,figlio,0.707
morire,divino,0.805
morire,paradiso,0.872
morire,angelo,0.859
morire,Maria,0.805
morire,pregare,0.863
inferno,Dio,0.59
inferno,Cristo,0.923
inferno,spirito,0.971
inferno,anima,0.77
inferno,santo,0.739
inferno,fé,0.824
inferno,cielo,0.877
inferno,padre,0.701
inferno,figlio,0.78
inferno,divino,0.782
inferno,paradiso,0.96
inferno,angelo,0.96
inferno,Maria,0.931
inferno,pregare,0.909
paradiso,Dio,0.664
paradiso,Cristo,0.9
paradiso,spirito,0.922
paradiso,anima,0.765
paradiso,santo,0.75
paradiso,fé,0.847
paradiso,cielo,0.837
paradiso,padre,0.84
paradiso,figlio,0.845
paradiso,divino,0.7
paradiso,paradiso,1.0
paradiso,angelo,0.9
paradiso,Maria,0.927
paradiso,pregare,0.938
martiro,Dio,0.61
martiro,Cristo,0.915
martiro,spirito,0.956
martiro,anima,0.761
martiro,santo,0.79
martiro,fé,0.863
martiro,cielo,0.876
martiro,padre,0.718
martiro,figlio,0.785
martiro,divino,0.782
martiro,paradiso,0.966
martiro,angelo,0.962
martiro,Maria,0.955
martiro,pregare,0.926
tomba,Dio,0.603
tomba,Cristo,0.923
tomba,spirito,0.966
tomba,anima,0.764
tomba,santo,0.773
tomba,fé,0.858
tomba,cielo,0.882
tomba,padre,0.708
tomba,figlio,0.784
tomba,divino,0.793
tomba,paradiso,0.965
tomba,angelo,0.969
tomba,Maria,0.947
tomba,pregare,0.921
sepolto,Dio,0.576
sepolto,Cristo,0.901
sepolto,spirito,0.951
sepolto,anima,0.734
sepolto,santo,0.738
sepolto,fé,0.809
sepolto,cielo,0.844
sepolto,padre,0.745
sepolto,figlio,0.795
sepolto,divino,0.737
sepolto,paradiso,0.971
sepolto,angelo,0.935
sepolto,Maria,0.929
sepolto,pregare,0.908
lutto,Dio,0.656
lutto,Cristo,0.946
lutto,spirito,0.96
lutto,anima,0.777
lutto,santo,0.746
lutto,fé,0.862
lutto,cielo,0.865
lutto,padre,0.714
lutto,figlio,0.768
lutto,divino,0.778
lutto,paradiso,0.969
lutto,angelo,0.958
lutto,Maria,0.955
lutto,pregare,0.948
