First Word,Second Word,Similarity
morte,amore,0.631
morte,Beatrice,0.846
morte,core,0.899
morte,amare,0.947
morte,affetto,0.859
morte,dolce,0.657
morte,bello,0.526
morte,bellezza,0.835
morte,donna,0.519
morte,sposa,0.943
morte,disio,0.816
morte,carne,0.901
morire,amore,0.631
morire,Beatrice,0.741
morire,core,0.884
morire,amare,0.909
morire,affetto,0.833
morire,dolce,0.519
morire,bello,0.484
morire,bellezza,0.837
morire,donna,0.474
morire,sposa,0.92
morire,disio,0.749
morire,carne,0.926
inferno,amore,0.631
inferno,Beatrice,0.84
inferno,core,0.983
inferno,amare,0.91
inferno,affetto,0.941
inferno,dolce,0.573
inferno,bello,0.586
inferno,bellezza,0.964
inferno,donna,0.574
inferno,sposa,0.97
inferno,disio,0.87
inferno,carne,0.942
paradiso,amore,0.67
paradiso,Beatrice,0.912
paradiso,core,0.959
paradiso,amare,0.947
paradiso,affetto,0.953
paradiso,dolce,0.696
paradiso,bello,0.661
paradiso,bellezza,0.938
paradiso,donna,0.673
paradiso,sposa,0.97
paradiso,disio,0.916
paradiso,carne,0.942
martiro,amore,0.675
martiro,Beatrice,0.824
martiro,core,0.974
martiro,amare,0.926
martiro,affetto,0.95
martiro,dolce,0.637
martiro,bello,0.614
martiro,bellezza,0.958
martiro,donna,0.549
martiro,sposa,0.972
martiro,disio,0.869
martiro,carne,0.923
tomba,amore,0.659
tomba,Beatrice,0.827
tomba,core,0.982
tomba,amare,0.922
tomba,affetto,0.95
tomba,dolce,0.611
tomba,bello,0.604
tomba,bellezza,0.962
tomba,donna,0.558
tomba,sposa,0.974
tomba,disio,0.867
tomba,carne,0.936
sepolto,amore,0.622
sepolto,Beatrice,0.856
sepolto,core,0.976
sepolto,amare,0.907
sepolto,affetto,0.934
sepolto,dolce,0.593
sepolto,bello,0.604
sepolto,bellezza,0.968
sepolto,donna,0.604
sepolto,sposa,0.965
sepolto,disio,0.883
sepolto,carne,0.936
lutto,amore,0.643
lutto,Beatrice,0.839
lutto,core,0.97
lutto,amare,0.949
lutto,affetto,0.93
lutto,dolce,0.621
lutto,bello,0.606
lutto,bellezza,0.944
lutto,donna,0.536
lutto,sposa,0.986
lutto,disio,0.852
lutto,carne,0.935
