First Word,Second Word,Similarity
morte,gente,0.696
morte,persona,0.852
morte,potere,0.694
morte,mondo,0.548
morte,città,0.949
morte,duca,0.559
morte,maestro,0.631
morte,legge,0.914
morte,regno,0.841
morte,principe,0.859
morte,pace,0.873
morire,gente,0.796
morire,persona,0.854
morire,potere,0.627
morire,mondo,0.69
morire,città,0.864
morire,duca,0.369
morire,maestro,0.479
morire,legge,0.9
morire,regno,0.88
morire,principe,0.848
morire,pace,0.856
inferno,gente,0.701
inferno,persona,0.895
inferno,potere,0.499
inferno,mondo,0.571
inferno,città,0.955
inferno,duca,0.473
inferno,maestro,0.484
inferno,legge,0.976
inferno,regno,0.927
inferno,principe,0.986
inferno,pace,0.94
paradiso,gente,0.617
paradiso,persona,0.862
paradiso,potere,0.539
paradiso,mondo,0.527
paradiso,città,0.968
paradiso,duca,0.627
paradiso,maestro,0.626
paradiso,legge,0.95
paradiso,regno,0.876
paradiso,principe,0.938
paradiso,pace,0.925
martiro,gente,0.669
martiro,persona,0.888
martiro,potere,0.495
martiro,mondo,0.554
martiro,città,0.962
martiro,duca,0.474
martiro,maestro,0.472
martiro,legge,0.98
martiro,regno,0.924
martiro,principe,0.983
martiro,pace,0.939
tomba,gente,0.686
tomba,persona,0.9
tomba,potere,0.499
tomba,mondo,0.57
tomba,città,0.961
tomba,duca,0.467
tomba,maestro,0.469
tomba,legge,0.985
tomba,regno,0.931
tomba,principe,0.988
tomba,pace,0.938
sepolto,gente,0.64
sepolto,persona,0.854
sepolto,potere,0.5
sepolto,mondo,0.521
sepolto,città,0.953
sepolto,duca,0.523
sepolto,maestro,0.513
sepolto,legge,0.964
sepolto,regno,0.892
sepolto,principe,0.98
sepolto,pace,0.929
lutto,gente,0.701
lutto,persona,0.883
lutto,potere,0.575
lutto,mondo,0.553
lutto,città,0.97
lutto,duca,0.477
lutto,maestro,0.502
lutto,legge,0.979
lutto,regno,0.909
lutto,principe,0.976
lutto,pace,0.929
