First Word,Second Word,Similarity
morte,pena,0.884
morte,punire,0.936
morte,colpa,0.936
morte,inferno,0.897
morte,appressare,0.888
morte,giusto,0.952
morte,purgare,0.901
morire,pena,0.801
morire,punire,0.892
morire,colpa,0.907
morire,inferno,0.891
morire,appressare,0.876
morire,giusto,0.926
morire,purgare,0.882
inferno,pena,0.941
inferno,punire,0.981
inferno,colpa,0.892
inferno,inferno,1.0
inferno,appressare,0.97
inferno,giusto,0.948
inferno,purgare,0.979
paradiso,pena,0.933
paradiso,punire,0.964
paradiso,colpa,0.93
paradiso,inferno,0.96
paradiso,appressare,0.952
paradiso,giusto,0.967
paradiso,purgare,0.939
martiro,pena,0.962
martiro,punire,0.98
martiro,colpa,0.894
martiro,inferno,0.983
martiro,appressare,0.985
martiro,giusto,0.952
martiro,purgare,0.981
tomba,pena,0.954
tomba,punire,0.981
tomba,colpa,0.897
tomba,inferno,0.99
tomba,appressare,0.983
tomba,giusto,0.952
tomba,purgare,0.985
sepolto,pena,0.949
sepolto,punire,0.976
sepolto,colpa,0.898
sepolto,inferno,0.985
sepolto,appressare,0.959
sepolto,giusto,0.945
sepolto,purgare,0.974
lutto,pena,0.959
lutto,punire,0.991
lutto,colpa,0.92
lutto,inferno,0.984
lutto,appressare,0.973
lutto,giusto,0.97
lutto,purgare,0.987
