First Word,Second Word,Similarity
morte,peccato,0.89
morte,malvagio,0.91
morte,peccare,0.94
morte,colpa,0.936
morte,ira,0.959
morte,inferno,0.897
morte,martiro,0.915
morte,demonio,0.927
morte,tormento,0.953
morte,piangere,0.863
morire,peccato,0.894
morire,malvagio,0.886
morire,peccare,0.887
morire,colpa,0.907
morire,ira,0.895
morire,inferno,0.891
morire,martiro,0.881
morire,demonio,0.879
morire,tormento,0.9
morire,piangere,0.767
inferno,peccato,0.973
inferno,malvagio,0.985
inferno,peccare,0.98
inferno,colpa,0.892
inferno,ira,0.853
inferno,inferno,1.0
inferno,martiro,0.983
inferno,demonio,0.976
inferno,tormento,0.948
inferno,piangere,0.728
paradiso,peccato,0.944
paradiso,malvagio,0.952
paradiso,peccare,0.977
paradiso,colpa,0.93
paradiso,ira,0.874
paradiso,inferno,0.96
paradiso,martiro,0.966
paradiso,demonio,0.966
paradiso,tormento,0.959
paradiso,piangere,0.768
martiro,peccato,0.978
martiro,malvagio,0.989
martiro,peccare,0.977
martiro,colpa,0.894
martiro,ira,0.871
martiro,inferno,0.983
martiro,martiro,1.0
martiro,demonio,0.991
martiro,tormento,0.963
martiro,piangere,0.736
tomba,peccato,0.982
tomba,malvagio,0.99
tomba,peccare,0.981
tomba,colpa,0.897
tomba,ira,0.868
tomba,inferno,0.99
tomba,martiro,0.995
tomba,demonio,0.988
tomba,tormento,0.96
tomba,piangere,0.736
sepolto,peccato,0.961
sepolto,malvagio,0.977
sepolto,peccare,0.973
sepolto,colpa,0.898
sepolto,ira,0.84
sepolto,inferno,0.985
sepolto,martiro,0.976
sepolto,demonio,0.97
sepolto,tormento,0.943
sepolto,piangere,0.718
lutto,peccato,0.975
lutto,malvagio,0.992
lutto,peccare,0.979
lutto,colpa,0.92
lutto,ira,0.905
lutto,inferno,0.984
lutto,martiro,0.99
lutto,demonio,0.99
lutto,tormento,0.979
lutto,piangere,0.779
