First Word,Second Word,Similarity
morte,corpo,0.787
morte,viso,0.66
morte,dire,0.699
morte,bocca,0.856
morte,voce,0.81
morte,vedere,0.728
morte,vista,0.821
morte,occhio,0.443
morte,spirare,0.79
morte,vita,0.733
morte,umano,0.624
morire,corpo,0.883
morire,viso,0.549
morire,dire,0.501
morire,bocca,0.809
morire,voce,0.697
morire,vedere,0.81
morire,vista,0.704
morire,occhio,0.346
morire,spirare,0.842
morire,vita,0.762
morire,umano,0.771
inferno,corpo,0.853
inferno,viso,0.659
inferno,dire,0.436
inferno,bocca,0.948
inferno,voce,0.753
inferno,vedere,0.738
inferno,vista,0.698
inferno,occhio,0.525
inferno,spirare,0.916
inferno,vita,0.726
inferno,umano,0.743
paradiso,corpo,0.82
paradiso,viso,0.77
paradiso,dire,0.575
paradiso,bocca,0.955
paradiso,voce,0.86
paradiso,vedere,0.678
paradiso,vista,0.836
paradiso,occhio,0.606
paradiso,spirare,0.863
paradiso,vita,0.767
paradiso,umano,0.652
martiro,corpo,0.826
martiro,viso,0.644
martiro,dire,0.479
martiro,bocca,0.957
martiro,voce,0.773
martiro,vedere,0.697
martiro,vista,0.716
martiro,occhio,0.529
martiro,spirare,0.916
martiro,vita,0.721
martiro,umano,0.743
tomba,corpo,0.845
tomba,viso,0.651
tomba,dire,0.457
tomba,bocca,0.956
tomba,voce,0.761
tomba,vedere,0.723
tomba,vista,0.707
tomba,occhio,0.532
tomba,spirare,0.922
tomba,vita,0.727
tomba,umano,0.758
sepolto,corpo,0.824
sepolto,viso,0.674
sepolto,dire,0.435
sepolto,bocca,0.956
sepolto,voce,0.775
sepolto,vedere,0.68
sepolto,vista,0.723
sepolto,occhio,0.54
sepolto,spirare,0.896
sepolto,vita,0.71
sepolto,umano,0.7
lutto,corpo,0.828
lutto,viso,0.64
lutto,dire,0.516
lutto,bocca,0.939
lutto,voce,0.777
lutto,vedere,0.731
lutto,vista,0.726
lutto,occhio,0.49
lutto,spirare,0.899
lutto,vita,0.71
lutto,umano,0.738
