First Word,Second Word,Similarity
morte,essere,0.814
morte,avere,0.803
morte,pensare,0.888
morte,pensiero,0.916
morte,mente,0.722
morte,natura,0.672
morte,anima,0.829
morte,vita,0.733
morte,umano,0.624
morte,nome,0.858
morire,essere,0.794
morire,avere,0.766
morire,pensare,0.796
morire,pensiero,0.788
morire,mente,0.644
morire,natura,0.776
morire,anima,0.77
morire,vita,0.762
morire,umano,0.771
morire,nome,0.733
inferno,essere,0.631
inferno,avere,0.675
inferno,pensare,0.697
inferno,pensiero,0.865
inferno,mente,0.672
inferno,natura,0.75
inferno,anima,0.77
inferno,vita,0.726
inferno,umano,0.743
inferno,nome,0.739
paradiso,essere,0.67
paradiso,avere,0.698
paradiso,pensare,0.763
paradiso,pensiero,0.928
paradiso,mente,0.783
paradiso,natura,0.687
paradiso,anima,0.765
paradiso,vita,0.767
paradiso,umano,0.652
paradiso,nome,0.827
martiro,essere,0.665
martiro,avere,0.725
martiro,pensare,0.713
martiro,pensiero,0.897
martiro,mente,0.66
martiro,natura,0.717
martiro,anima,0.761
martiro,vita,0.721
martiro,umano,0.743
martiro,nome,0.75
tomba,essere,0.663
tomba,avere,0.708
tomba,pensare,0.706
tomba,pensiero,0.883
tomba,mente,0.663
tomba,natura,0.741
tomba,anima,0.764
tomba,vita,0.727
tomba,umano,0.758
tomba,nome,0.741
sepolto,essere,0.618
sepolto,avere,0.659
sepolto,pensare,0.69
sepolto,pensiero,0.881
sepolto,mente,0.684
sepolto,natura,0.713
sepolto,anima,0.734
sepolto,vita,0.71
sepolto,umano,0.7
sepolto,nome,0.754
lutto,essere,0.697
lutto,avere,0.745
lutto,pensare,0.761
lutto,pensiero,0.897
lutto,mente,0.663
lutto,natura,0.723
lutto,anima,0.777
lutto,vita,0.71
lutto,umano,0.738
lutto,nome,0.769
