First Word,Second Word,Similarity
Dio,Dio,1.0
Dio,Cristo,0.749
Dio,spirito,0.569
Dio,anima,0.509
Dio,santo,0.356
Dio,fé,0.689
Dio,cielo,0.432
Dio,padre,0.539
Dio,figlio,0.432
Dio,divino,0.485
Dio,paradiso,0.664
Dio,angelo,0.55
Dio,Maria,0.652
Dio,pregare,0.773
Cristo,Dio,0.749
Cristo,Cristo,1.0
Cristo,spirito,0.909
Cristo,anima,0.73
Cristo,santo,0.611
Cristo,fé,0.856
Cristo,cielo,0.789
Cristo,padre,0.637
Cristo,figlio,0.693
Cristo,divino,0.79
Cristo,paradiso,0.9
Cristo,angelo,0.893
Cristo,Maria,0.881
Cristo,pregare,0.931
spirito,Dio,0.569
spirito,Cristo,0.909
spirito,spirito,1.0
spirito,anima,0.775
spirito,santo,0.722
spirito,fé,0.789
spirito,cielo,0.857
spirito,padre,0.649
spirito,figlio,0.723
spirito,divino,0.793
spirito,paradiso,0.922
spirito,angelo,0.953
spirito,Maria,0.899
spirito,pregare,0.877
anima,Dio,0.509
anima,Cristo,0.73
anima,spirito,0.775
anima,anima,1.0
anima,santo,0.47
anima,fé,0.618
anima,cielo,0.729
anima,padre,0.583
anima,figlio,0.578
anima,divino,0.524
anima,paradiso,0.765
anima,angelo,0.771
anima,Maria,0.783
anima,pregare,0.747
santo,Dio,0.356
santo,Cristo,0.611
santo,spirito,0.722
santo,anima,0.47
santo,santo,1.0
santo,fé,0.663
santo,cielo,0.732
santo,padre,0.554
santo,figlio,0.69
santo,divino,0.732
santo,paradiso,0.75
santo,angelo,0.737
santo,Maria,0.692
santo,pregare,0.644
fé,Dio,0.689
fé,Cristo,0.856
fé,spirito,0.789
fé,anima,0.618
fé,santo,0.663
fé,fé,1.0
fé,cielo,0.73
fé,padre,0.696
fé,figlio,0.746
fé,divino,0.69
fé,paradiso,0.847
fé,angelo,0.813
fé,Maria,0.837
fé,pregare,0.862
cielo,Dio,0.432
cielo,Cristo,0.789
cielo,spirito,0.857
cielo,anima,0.729
cielo,santo,0.732
cielo,fé,0.73
cielo,cielo,1.0
cielo,padre,0.559
cielo,figlio,0.705
cielo,divino,0.8
cielo,paradiso,0.837
cielo,angelo,0.864
cielo,Maria,0.777
cielo,pregare,0.746
padre,Dio,0.539
padre,Cristo,0.637
padre,spirito,0.649
padre,anima,0.583
padre,santo,0.554
padre,fé,0.696
padre,cielo,0.559
padre,padre,1.0
padre,figlio,0.88
padre,divino,0.347
padre,paradiso,0.84
padre,angelo,0.593
padre,Maria,0.703
padre,pregare,0.746
figlio,Dio,0.432
figlio,Cristo,0.693
figlio,spirito,0.723
figlio,anima,0.578
figlio,santo,0.69
figlio,fé,0.746
figlio,cielo,0.705
figlio,padre,0.88
figlio,figlio,1.0
figlio,divino,0.587
figlio,paradiso,0.845
figlio,angelo,0.702
figlio,Maria,0.688
figlio,pregare,0.706
divino,Dio,0.485
divino,Cristo,0.79
divino,spirito,0.793
divino,anima,0.524
divino,santo,0.732
divino,fé,0.69
divino,cielo,0.8
divino,padre,0.347
divino,figlio,0.587
divino,divino,1.0
divino,paradiso,0.7
divino,angelo,0.801
divino,Maria,0.64
divino,pregare,0.629
paradiso,Dio,0.664
paradiso,Cristo,0.9
paradiso,spirito,0.922
paradiso,anima,0.765
paradiso,santo,0.75
paradiso,fé,0.847
paradiso,cielo,0.837
paradiso,padre,0.84
paradiso,figlio,0.845
paradiso,divino,0.7
paradiso,paradiso,1.0
paradiso,angelo,0.9
paradiso,Maria,0.927
paradiso,pregare,0.938
angelo,Dio,0.55
angelo,Cristo,0.893
angelo,spirito,0.953
angelo,anima,0.771
angelo,santo,0.737
angelo,fé,0.813
angelo,cielo,0.864
angelo,padre,0.593
angelo,figlio,0.702
angelo,divino,0.801
angelo,paradiso,0.9
angelo,angelo,1.0
angelo,Maria,0.921
angelo,pregare,0.876
Maria,Dio,0.652
Maria,Cristo,0.881
Maria,spirito,0.899
Maria,anima,0.783
Maria,santo,0.692
Maria,fé,0.837
Maria,cielo,0.777
Maria,padre,0.703
Maria,figlio,0.688
Maria,divino,0.64
Maria,paradiso,0.927
Maria,angelo,0.921
Maria,Maria,1.0
Maria,pregare,0.95
pregare,Dio,0.773
pregare,Cristo,0.931
pregare,spirito,0.877
pregare,anima,0.747
pregare,santo,0.644
pregare,fé,0.862
pregare,cielo,0.746
pregare,padre,0.746
pregare,figlio,0.706
pregare,divino,0.629
pregare,paradiso,0.938
pregare,angelo,0.876
pregare,Maria,0.95
pregare,pregare,1.0
