First Word,Second Word,Similarity
Dio,amore,0.338
Dio,Beatrice,0.636
Dio,core,0.555
Dio,amare,0.771
Dio,affetto,0.521
Dio,dolce,0.508
Dio,bello,0.42
Dio,bellezza,0.477
Dio,donna,0.241
Dio,sposa,0.698
Dio,disio,0.488
Dio,carne,0.595
Cristo,amore,0.575
Cristo,Beatrice,0.774
Cristo,core,0.896
Cristo,amare,0.948
Cristo,affetto,0.829
Cristo,dolce,0.534
Cristo,bello,0.502
Cristo,bellezza,0.855
Cristo,donna,0.406
Cristo,sposa,0.962
Cristo,disio,0.725
Cristo,carne,0.912
spirito,amore,0.599
spirito,Beatrice,0.818
spirito,core,0.962
spirito,amare,0.889
spirito,affetto,0.902
spirito,dolce,0.547
spirito,bello,0.563
spirito,bellezza,0.921
spirito,donna,0.547
spirito,sposa,0.94
spirito,disio,0.814
spirito,carne,0.918
anima,amore,0.498
anima,Beatrice,0.765
anima,core,0.79
anima,amare,0.723
anima,affetto,0.723
anima,dolce,0.414
anima,bello,0.373
anima,bellezza,0.692
anima,donna,0.539
anima,sposa,0.767
anima,disio,0.728
anima,carne,0.768
santo,amore,0.707
santo,Beatrice,0.577
santo,core,0.73
santo,amare,0.695
santo,affetto,0.82
santo,dolce,0.721
santo,bello,0.796
santo,bellezza,0.772
santo,donna,0.505
santo,sposa,0.713
santo,disio,0.663
santo,carne,0.665
fé,amore,0.613
fé,Beatrice,0.713
fé,core,0.826
fé,amare,0.858
fé,affetto,0.82
fé,dolce,0.641
fé,bello,0.505
fé,bellezza,0.801
fé,donna,0.454
fé,sposa,0.876
fé,disio,0.743
fé,carne,0.82
cielo,amore,0.751
cielo,Beatrice,0.679
cielo,core,0.892
cielo,amare,0.781
cielo,affetto,0.885
cielo,dolce,0.47
cielo,bello,0.509
cielo,bellezza,0.877
cielo,donna,0.483
cielo,sposa,0.839
cielo,disio,0.778
cielo,carne,0.852
padre,amore,0.547
padre,Beatrice,0.86
padre,core,0.728
padre,amare,0.75
padre,affetto,0.78
padre,dolce,0.767
padre,bello,0.584
padre,bellezza,0.725
padre,donna,0.815
padre,sposa,0.75
padre,disio,0.864
padre,carne,0.764
figlio,amore,0.687
figlio,Beatrice,0.755
figlio,core,0.804
figlio,amare,0.74
figlio,affetto,0.87
figlio,dolce,0.71
figlio,bello,0.598
figlio,bellezza,0.852
figlio,donna,0.777
figlio,sposa,0.806
figlio,disio,0.864
figlio,carne,0.863
divino,amore,0.684
divino,Beatrice,0.445
divino,core,0.762
divino,amare,0.72
divino,affetto,0.758
divino,dolce,0.362
divino,bello,0.478
divino,bellezza,0.786
divino,donna,0.239
divino,sposa,0.783
divino,disio,0.542
divino,carne,0.772
paradiso,amore,0.67
paradiso,Beatrice,0.912
paradiso,core,0.959
paradiso,amare,0.947
paradiso,affetto,0.953
paradiso,dolce,0.696
paradiso,bello,0.661
paradiso,bellezza,0.938
paradiso,donna,0.673
paradiso,sposa,0.97
paradiso,disio,0.916
paradiso,carne,0.942
angelo,amore,0.61
angelo,Beatrice,0.749
angelo,core,0.95
angelo,amare,0.866
angelo,affetto,0.905
angelo,dolce,0.518
angelo,bello,0.535
angelo,bellezza,0.918
angelo,donna,0.463
angelo,sposa,0.934
angelo,disio,0.79
angelo,carne,0.887
Maria,amore,0.538
Maria,Beatrice,0.83
Maria,core,0.918
Maria,amare,0.9
Maria,affetto,0.865
Maria,dolce,0.649
Maria,bello,0.574
Maria,bellezza,0.865
Maria,donna,0.504
Maria,sposa,0.934
Maria,disio,0.823
Maria,carne,0.835
pregare,amore,0.52
pregare,Beatrice,0.867
pregare,core,0.888
pregare,amare,0.963
pregare,affetto,0.84
pregare,dolce,0.683
pregare,bello,0.588
pregare,bellezza,0.826
pregare,donna,0.492
pregare,sposa,0.948
pregare,disio,0.795
pregare,carne,0.862
