First Word,Second Word,Similarity
Dio,gente,0.476
Dio,persona,0.503
Dio,potere,0.733
Dio,mondo,0.341
Dio,città,0.655
Dio,duca,0.425
Dio,maestro,0.537
Dio,legge,0.614
Dio,regno,0.492
Dio,principe,0.546
Dio,pace,0.52
Cristo,gente,0.751
Cristo,persona,0.82
Cristo,potere,0.686
Cristo,mondo,0.595
Cristo,città,0.908
Cristo,duca,0.375
Cristo,maestro,0.467
Cristo,legge,0.929
Cristo,regno,0.847
Cristo,principe,0.901
Cristo,pace,0.853
spirito,gente,0.767
spirito,persona,0.91
spirito,potere,0.515
spirito,mondo,0.57
spirito,città,0.917
spirito,duca,0.425
spirito,maestro,0.452
spirito,legge,0.95
spirito,regno,0.918
spirito,principe,0.958
spirito,pace,0.89
anima,gente,0.7
anima,persona,0.851
anima,potere,0.543
anima,mondo,0.428
anima,città,0.818
anima,duca,0.537
anima,maestro,0.599
anima,legge,0.762
anima,regno,0.757
anima,principe,0.706
anima,pace,0.77
santo,gente,0.372
santo,persona,0.665
santo,potere,0.053
santo,mondo,0.421
santo,città,0.668
santo,duca,0.277
santo,maestro,0.179
santo,legge,0.72
santo,regno,0.738
santo,principe,0.774
santo,pace,0.71
fé,gente,0.576
fé,persona,0.777
fé,potere,0.547
fé,mondo,0.579
fé,città,0.848
fé,duca,0.427
fé,maestro,0.456
fé,legge,0.87
fé,regno,0.784
fé,principe,0.829
fé,pace,0.799
cielo,gente,0.711
cielo,persona,0.886
cielo,potere,0.325
cielo,mondo,0.666
cielo,città,0.828
cielo,duca,0.301
cielo,maestro,0.314
cielo,legge,0.892
cielo,regno,0.908
cielo,principe,0.868
cielo,pace,0.887
padre,gente,0.308
padre,persona,0.629
padre,potere,0.419
padre,mondo,0.336
padre,città,0.775
padre,duca,0.822
padre,maestro,0.789
padre,legge,0.689
padre,regno,0.606
padre,principe,0.662
padre,pace,0.722
figlio,gente,0.389
figlio,persona,0.72
figlio,potere,0.246
figlio,mondo,0.511
figlio,città,0.781
figlio,duca,0.579
figlio,maestro,0.535
figlio,legge,0.778
figlio,regno,0.756
figlio,principe,0.768
figlio,pace,0.85
divino,gente,0.658
divino,persona,0.744
divino,potere,0.241
divino,mondo,0.742
divino,città,0.662
divino,duca,-0.06
divino,maestro,-0.023
divino,legge,0.798
divino,regno,0.85
divino,principe,0.807
divino,pace,0.77
paradiso,gente,0.617
paradiso,persona,0.862
paradiso,potere,0.539
paradiso,mondo,0.527
paradiso,città,0.968
paradiso,duca,0.627
paradiso,maestro,0.626
paradiso,legge,0.95
paradiso,regno,0.876
paradiso,principe,0.938
paradiso,pace,0.925
angelo,gente,0.696
angelo,persona,0.891
angelo,potere,0.47
angelo,mondo,0.538
angelo,città,0.924
angelo,duca,0.362
angelo,maestro,0.374
angelo,legge,0.954
angelo,regno,0.912
angelo,principe,0.967
angelo,pace,0.904
Maria,gente,0.624
Maria,persona,0.838
Maria,potere,0.598
Maria,mondo,0.405
Maria,città,0.958
Maria,duca,0.551
Maria,maestro,0.556
Maria,legge,0.932
Maria,regno,0.826
Maria,principe,0.924
Maria,pace,0.863
pregare,gente,0.65
pregare,persona,0.795
pregare,potere,0.719
pregare,mondo,0.432
pregare,città,0.953
pregare,duca,0.581
pregare,maestro,0.634
pregare,legge,0.911
pregare,regno,0.785
pregare,principe,0.884
pregare,pace,0.829
