First Word,Second Word,Similarity
Dio,pena,0.628
Dio,punire,0.65
Dio,colpa,0.718
Dio,inferno,0.59
Dio,appressare,0.581
Dio,giusto,0.729
Dio,purgare,0.602
Cristo,pena,0.876
Cristo,punire,0.939
Cristo,colpa,0.927
Cristo,inferno,0.923
Cristo,appressare,0.891
Cristo,giusto,0.952
Cristo,purgare,0.935
spirito,pena,0.906
spirito,punire,0.956
spirito,colpa,0.849
spirito,inferno,0.971
spirito,appressare,0.948
spirito,giusto,0.917
spirito,purgare,0.957
anima,pena,0.726
anima,punire,0.797
anima,colpa,0.745
anima,inferno,0.77
anima,appressare,0.757
anima,giusto,0.774
anima,purgare,0.725
santo,pena,0.734
santo,punire,0.702
santo,colpa,0.568
santo,inferno,0.739
santo,appressare,0.81
santo,giusto,0.69
santo,purgare,0.74
fé,pena,0.82
fé,punire,0.842
fé,colpa,0.854
fé,inferno,0.824
fé,appressare,0.848
fé,giusto,0.853
fé,purgare,0.847
cielo,pena,0.801
cielo,punire,0.852
cielo,colpa,0.779
cielo,inferno,0.877
cielo,appressare,0.901
cielo,giusto,0.835
cielo,purgare,0.853
padre,pena,0.686
padre,punire,0.717
padre,colpa,0.781
padre,inferno,0.701
padre,appressare,0.698
padre,giusto,0.764
padre,purgare,0.648
figlio,pena,0.701
figlio,punire,0.755
figlio,colpa,0.802
figlio,inferno,0.78
figlio,appressare,0.781
figlio,giusto,0.795
figlio,purgare,0.727
divino,pena,0.686
divino,punire,0.74
divino,colpa,0.678
divino,inferno,0.782
divino,appressare,0.802
divino,giusto,0.755
divino,purgare,0.8
paradiso,pena,0.933
paradiso,punire,0.964
paradiso,colpa,0.93
paradiso,inferno,0.96
paradiso,appressare,0.952
paradiso,giusto,0.967
paradiso,purgare,0.939
angelo,pena,0.91
angelo,punire,0.949
angelo,colpa,0.834
angelo,inferno,0.96
angelo,appressare,0.955
angelo,giusto,0.899
angelo,purgare,0.961
Maria,pena,0.958
Maria,punire,0.956
Maria,colpa,0.86
Maria,inferno,0.931
Maria,appressare,0.927
Maria,giusto,0.915
Maria,purgare,0.943
pregare,pena,0.921
pregare,punire,0.95
pregare,colpa,0.916
pregare,inferno,0.909
pregare,appressare,0.894
pregare,giusto,0.947
pregare,purgare,0.923
