First Word,Second Word,Similarity
Dio,peccato,0.595
Dio,malvagio,0.636
Dio,peccare,0.639
Dio,colpa,0.718
Dio,ira,0.787
Dio,inferno,0.59
Dio,martiro,0.61
Dio,demonio,0.64
Dio,tormento,0.73
Dio,piangere,0.7
Cristo,peccato,0.921
Cristo,malvagio,0.94
Cristo,peccare,0.923
Cristo,colpa,0.927
Cristo,ira,0.929
Cristo,inferno,0.923
Cristo,martiro,0.915
Cristo,demonio,0.921
Cristo,tormento,0.943
Cristo,piangere,0.798
spirito,peccato,0.947
spirito,malvagio,0.96
spirito,peccare,0.944
spirito,colpa,0.849
spirito,ira,0.841
spirito,inferno,0.971
spirito,martiro,0.956
spirito,demonio,0.952
spirito,tormento,0.927
spirito,piangere,0.737
anima,peccato,0.699
anima,malvagio,0.744
anima,peccare,0.797
anima,colpa,0.745
anima,ira,0.797
anima,inferno,0.77
anima,martiro,0.761
anima,demonio,0.772
anima,tormento,0.755
anima,piangere,0.782
santo,peccato,0.787
santo,malvagio,0.746
santo,peccare,0.71
santo,colpa,0.568
santo,ira,0.526
santo,inferno,0.739
santo,martiro,0.79
santo,demonio,0.782
santo,tormento,0.712
santo,piangere,0.355
fé,peccato,0.861
fé,malvagio,0.861
fé,peccare,0.854
fé,colpa,0.854
fé,ira,0.833
fé,inferno,0.824
fé,martiro,0.863
fé,demonio,0.854
fé,tormento,0.883
fé,piangere,0.711
cielo,peccato,0.897
cielo,malvagio,0.859
cielo,peccare,0.853
cielo,colpa,0.779
cielo,ira,0.711
cielo,inferno,0.877
cielo,martiro,0.876
cielo,demonio,0.86
cielo,tormento,0.819
cielo,piangere,0.566
padre,peccato,0.672
padre,malvagio,0.678
padre,peccare,0.767
padre,colpa,0.781
padre,ira,0.667
padre,inferno,0.701
padre,martiro,0.718
padre,demonio,0.71
padre,tormento,0.736
padre,piangere,0.654
figlio,peccato,0.781
figlio,malvagio,0.746
figlio,peccare,0.809
figlio,colpa,0.802
figlio,ira,0.631
figlio,inferno,0.78
figlio,martiro,0.785
figlio,demonio,0.754
figlio,tormento,0.731
figlio,piangere,0.534
divino,peccato,0.848
divino,malvagio,0.793
divino,peccare,0.731
divino,colpa,0.678
divino,ira,0.626
divino,inferno,0.782
divino,martiro,0.782
divino,demonio,0.755
divino,tormento,0.708
divino,piangere,0.361
paradiso,peccato,0.944
paradiso,malvagio,0.952
paradiso,peccare,0.977
paradiso,colpa,0.93
paradiso,ira,0.874
paradiso,inferno,0.96
paradiso,martiro,0.966
paradiso,demonio,0.966
paradiso,tormento,0.959
paradiso,piangere,0.768
angelo,peccato,0.947
angelo,malvagio,0.964
angelo,peccare,0.94
angelo,colpa,0.834
angelo,ira,0.842
angelo,inferno,0.96
angelo,martiro,0.962
angelo,demonio,0.96
angelo,tormento,0.915
angelo,piangere,0.722
Maria,peccato,0.904
Maria,malvagio,0.951
Maria,peccare,0.946
Maria,colpa,0.86
Maria,ira,0.902
Maria,inferno,0.931
Maria,martiro,0.955
Maria,demonio,0.965
Maria,tormento,0.956
Maria,piangere,0.819
pregare,peccato,0.893
pregare,malvagio,0.934
pregare,peccare,0.935
pregare,colpa,0.916
pregare,ira,0.952
pregare,inferno,0.909
pregare,martiro,0.926
pregare,demonio,0.947
pregare,tormento,0.981
pregare,piangere,0.878
