First Word,Second Word,Similarity
Dio,corpo,0.439
Dio,viso,0.434
Dio,dire,0.69
Dio,bocca,0.512
Dio,voce,0.562
Dio,vedere,0.54
Dio,vista,0.594
Dio,occhio,0.157
Dio,spirare,0.462
Dio,vita,0.391
Dio,umano,0.451
Cristo,corpo,0.792
Cristo,viso,0.519
Cristo,dire,0.535
Cristo,bocca,0.833
Cristo,voce,0.688
Cristo,vedere,0.765
Cristo,vista,0.666
Cristo,occhio,0.307
Cristo,spirare,0.824
Cristo,vita,0.681
Cristo,umano,0.767
spirito,corpo,0.832
spirito,viso,0.606
spirito,dire,0.431
spirito,bocca,0.907
spirito,voce,0.708
spirito,vedere,0.77
spirito,vista,0.653
spirito,occhio,0.508
spirito,spirare,0.891
spirito,vita,0.689
spirito,umano,0.75
anima,corpo,0.717
anima,viso,0.628
anima,dire,0.59
anima,bocca,0.712
anima,voce,0.72
anima,vedere,0.652
anima,vista,0.715
anima,occhio,0.46
anima,spirare,0.676
anima,vita,0.628
anima,umano,0.427
santo,corpo,0.644
santo,viso,0.506
santo,dire,0.265
santo,bocca,0.776
santo,voce,0.573
santo,vedere,0.477
santo,vista,0.504
santo,occhio,0.569
santo,spirare,0.817
santo,vita,0.557
santo,umano,0.664
fé,corpo,0.693
fé,viso,0.555
fé,dire,0.532
fé,bocca,0.827
fé,voce,0.713
fé,vedere,0.587
fé,vista,0.697
fé,occhio,0.419
fé,spirare,0.743
fé,vita,0.718
fé,umano,0.721
cielo,corpo,0.87
cielo,viso,0.565
cielo,dire,0.335
cielo,bocca,0.85
cielo,voce,0.633
cielo,vedere,0.702
cielo,vista,0.591
cielo,occhio,0.499
cielo,spirare,0.894
cielo,vita,0.77
cielo,umano,0.736
padre,corpo,0.621
padre,viso,0.842
padre,dire,0.629
padre,bocca,0.8
padre,voce,0.91
padre,vedere,0.412
padre,vista,0.921
padre,occhio,0.675
padre,spirare,0.562
padre,vita,0.739
padre,umano,0.319
figlio,corpo,0.797
figlio,viso,0.765
figlio,dire,0.394
figlio,bocca,0.864
figlio,voce,0.807
figlio,vedere,0.468
figlio,vista,0.816
figlio,occhio,0.64
figlio,spirare,0.732
figlio,vita,0.872
figlio,umano,0.56
divino,corpo,0.804
divino,viso,0.276
divino,dire,0.079
divino,bocca,0.691
divino,voce,0.381
divino,vedere,0.599
divino,vista,0.329
divino,occhio,0.178
divino,spirare,0.907
divino,vita,0.652
divino,umano,0.937
paradiso,corpo,0.82
paradiso,viso,0.77
paradiso,dire,0.575
paradiso,bocca,0.955
paradiso,voce,0.86
paradiso,vedere,0.678
paradiso,vista,0.836
paradiso,occhio,0.606
paradiso,spirare,0.863
paradiso,vita,0.767
paradiso,umano,0.652
angelo,corpo,0.808
angelo,viso,0.562
angelo,dire,0.401
angelo,bocca,0.901
angelo,voce,0.679
angelo,vedere,0.733
angelo,vista,0.61
angelo,occhio,0.474
angelo,spirare,0.9
angelo,vita,0.665
angelo,umano,0.766
Maria,corpo,0.694
Maria,viso,0.633
Maria,dire,0.6
Maria,bocca,0.898
Maria,voce,0.796
Maria,vedere,0.659
Maria,vista,0.719
Maria,occhio,0.501
Maria,spirare,0.801
Maria,vita,0.593
Maria,umano,0.603
pregare,corpo,0.695
pregare,viso,0.653
pregare,dire,0.715
pregare,bocca,0.867
pregare,voce,0.804
pregare,vedere,0.736
pregare,vista,0.78
pregare,occhio,0.469
pregare,spirare,0.753
pregare,vita,0.613
pregare,umano,0.611
