First Word,Second Word,Similarity
Dio,essere,0.661
Dio,avere,0.699
Dio,pensare,0.73
Dio,pensiero,0.6
Dio,mente,0.48
Dio,natura,0.421
Dio,anima,0.509
Dio,vita,0.391
Dio,umano,0.451
Dio,nome,0.59
Cristo,essere,0.798
Cristo,avere,0.781
Cristo,pensare,0.793
Cristo,pensiero,0.811
Cristo,mente,0.598
Cristo,natura,0.756
Cristo,anima,0.73
Cristo,vita,0.681
Cristo,umano,0.767
Cristo,nome,0.719
spirito,essere,0.601
spirito,avere,0.662
spirito,pensare,0.682
spirito,pensiero,0.814
spirito,mente,0.626
spirito,natura,0.734
spirito,anima,0.775
spirito,vita,0.689
spirito,umano,0.75
spirito,nome,0.68
anima,essere,0.577
anima,avere,0.615
anima,pensare,0.775
anima,pensiero,0.796
anima,mente,0.66
anima,natura,0.608
anima,anima,1.0
anima,vita,0.628
anima,umano,0.427
anima,nome,0.768
santo,essere,0.4
santo,avere,0.49
santo,pensare,0.34
santo,pensiero,0.662
santo,mente,0.511
santo,natura,0.48
santo,anima,0.47
santo,vita,0.557
santo,umano,0.664
santo,nome,0.448
fé,essere,0.74
fé,avere,0.774
fé,pensare,0.719
fé,pensiero,0.826
fé,mente,0.598
fé,natura,0.686
fé,anima,0.618
fé,vita,0.718
fé,umano,0.721
fé,nome,0.743
cielo,essere,0.595
cielo,avere,0.572
cielo,pensare,0.59
cielo,pensiero,0.748
cielo,mente,0.592
cielo,natura,0.728
cielo,anima,0.729
cielo,vita,0.77
cielo,umano,0.736
cielo,nome,0.654
padre,essere,0.513
padre,avere,0.488
padre,pensare,0.682
padre,pensiero,0.856
padre,mente,0.857
padre,natura,0.473
padre,anima,0.583
padre,vita,0.739
padre,umano,0.319
padre,nome,0.836
figlio,essere,0.552
figlio,avere,0.491
figlio,pensare,0.552
figlio,pensiero,0.834
figlio,mente,0.809
figlio,natura,0.712
figlio,anima,0.578
figlio,vita,0.872
figlio,umano,0.56
figlio,nome,0.777
divino,essere,0.584
divino,avere,0.584
divino,pensare,0.374
divino,pensiero,0.537
divino,mente,0.343
divino,natura,0.822
divino,anima,0.524
divino,vita,0.652
divino,umano,0.937
divino,nome,0.388
paradiso,essere,0.67
paradiso,avere,0.698
paradiso,pensare,0.763
paradiso,pensiero,0.928
paradiso,mente,0.783
paradiso,natura,0.687
paradiso,anima,0.765
paradiso,vita,0.767
paradiso,umano,0.652
paradiso,nome,0.827
angelo,essere,0.629
angelo,avere,0.678
angelo,pensare,0.657
angelo,pensiero,0.825
angelo,mente,0.566
angelo,natura,0.732
angelo,anima,0.771
angelo,vita,0.665
angelo,umano,0.766
angelo,nome,0.663
Maria,essere,0.651
Maria,avere,0.757
Maria,pensare,0.784
Maria,pensiero,0.903
Maria,mente,0.616
Maria,natura,0.588
Maria,anima,0.783
Maria,vita,0.593
Maria,umano,0.603
Maria,nome,0.77
pregare,essere,0.752
pregare,avere,0.792
pregare,pensare,0.866
pregare,pensiero,0.903
pregare,mente,0.675
pregare,natura,0.577
pregare,anima,0.747
pregare,vita,0.613
pregare,umano,0.611
pregare,nome,0.805
