First Word,Second Word,Similarity
avere,morte,0.803
avere,morire,0.766
avere,inferno,0.675
avere,paradiso,0.698
avere,martiro,0.725
avere,tomba,0.708
avere,sepolto,0.659
avere,lutto,0.745
non,morte,0.741
non,morire,0.703
non,inferno,0.533
non,paradiso,0.563
non,martiro,0.53
non,tomba,0.532
non,sepolto,0.522
non,lutto,0.6
potere,morte,0.694
potere,morire,0.627
potere,inferno,0.499
potere,paradiso,0.539
potere,martiro,0.495
potere,tomba,0.499
potere,sepolto,0.5
potere,lutto,0.575
grazia,morte,0.843
grazia,morire,0.896
grazia,inferno,0.826
grazia,paradiso,0.8
grazia,martiro,0.816
grazia,tomba,0.823
grazia,sepolto,0.793
grazia,lutto,0.839
mio,morte,0.399
mio,morire,0.247
mio,inferno,0.288
mio,paradiso,0.433
mio,martiro,0.365
mio,tomba,0.328
mio,sepolto,0.32
mio,lutto,0.364
Dio,morte,0.73
Dio,morire,0.683
Dio,inferno,0.59
Dio,paradiso,0.664
Dio,martiro,0.61
Dio,tomba,0.603
Dio,sepolto,0.576
Dio,lutto,0.656
santo,morte,0.62
santo,morire,0.618
santo,inferno,0.739
santo,paradiso,0.75
santo,martiro,0.79
santo,tomba,0.773
santo,sepolto,0.738
santo,lutto,0.746
parere,morte,0.84
parere,morire,0.804
parere,inferno,0.808
parere,paradiso,0.792
parere,martiro,0.844
parere,tomba,0.836
parere,sepolto,0.767
parere,lutto,0.835
parlare,morte,0.779
parlare,morire,0.653
parlare,inferno,0.592
parlare,paradiso,0.712
parlare,martiro,0.6
parlare,tomba,0.592
parlare,sepolto,0.605
parlare,lutto,0.642
donna,morte,0.519
donna,morire,0.474
donna,inferno,0.574
donna,paradiso,0.673
donna,martiro,0.549
donna,tomba,0.558
donna,sepolto,0.604
donna,lutto,0.536
