First Word,Second Word,Similarity
avere,lume,0.405
avere,mente,0.475
avere,luce,0.298
avere,nostro,0.53
avere,mio,0.321
avere,volgere,0.271
avere,mondo,0.463
avere,dolce,0.514
avere,vista,0.605
avere,viso,0.391
non,lume,0.208
non,mente,0.423
non,luce,0.074
non,nostro,0.338
non,mio,0.258
non,volgere,0.048
non,mondo,0.399
non,dolce,0.309
non,vista,0.538
non,viso,0.297
potere,lume,0.095
potere,mente,0.394
potere,luce,-0.048
potere,nostro,0.265
potere,mio,0.281
potere,volgere,0.09
potere,mondo,0.229
potere,dolce,0.293
potere,vista,0.536
potere,viso,0.315
grazia,lume,0.675
grazia,mente,0.544
grazia,luce,0.57
grazia,nostro,0.591
grazia,mio,0.161
grazia,volgere,0.242
grazia,mondo,0.662
grazia,dolce,0.43
grazia,vista,0.581
grazia,viso,0.446
mio,lume,-0.075
mio,mente,0.388
mio,luce,0.05
mio,nostro,0.5
mio,mio,1.0
mio,volgere,0.699
mio,mondo,-0.044
mio,dolce,0.758
mio,vista,0.467
mio,viso,0.423
Dio,lume,0.185
Dio,mente,0.48
Dio,luce,0.124
Dio,nostro,0.623
Dio,mio,0.511
Dio,volgere,0.413
Dio,mondo,0.341
Dio,dolce,0.508
Dio,vista,0.594
Dio,viso,0.434
santo,lume,0.641
santo,mente,0.511
santo,luce,0.652
santo,nostro,0.639
santo,mio,0.492
santo,volgere,0.566
santo,mondo,0.421
santo,dolce,0.721
santo,vista,0.504
santo,viso,0.506
parere,lume,0.601
parere,mente,0.566
parere,luce,0.554
parere,nostro,0.513
parere,mio,0.314
parere,volgere,0.399
parere,mondo,0.5
parere,dolce,0.573
parere,vista,0.646
parere,viso,0.544
parlare,lume,0.205
parlare,mente,0.753
parlare,luce,0.233
parlare,nostro,0.319
parlare,mio,0.466
parlare,volgere,0.429
parlare,mondo,0.201
parlare,dolce,0.561
parlare,vista,0.88
parlare,viso,0.699
donna,lume,0.528
donna,mente,0.86
donna,luce,0.626
donna,nostro,0.219
donna,mio,0.286
donna,volgere,0.588
donna,mondo,0.227
donna,dolce,0.585
donna,vista,0.812
donna,viso,0.887
