First Word,Second Word,Similarity
avere,amore,0.444
avere,Beatrice,0.562
avere,core,0.663
avere,amare,0.767
avere,affetto,0.604
avere,dolce,0.514
avere,bello,0.431
avere,bellezza,0.596
avere,donna,0.261
avere,sposa,0.752
avere,disio,0.551
avere,carne,0.676
non,amore,0.248
non,Beatrice,0.584
non,core,0.532
non,amare,0.68
non,affetto,0.395
non,dolce,0.309
non,bello,0.176
non,bellezza,0.403
non,donna,0.156
non,sposa,0.627
non,disio,0.378
non,carne,0.569
potere,amore,0.077
potere,Beatrice,0.578
potere,core,0.479
potere,amare,0.655
potere,affetto,0.327
potere,dolce,0.293
potere,bello,0.17
potere,bellezza,0.352
potere,donna,0.131
potere,sposa,0.594
potere,disio,0.376
potere,carne,0.515
grazia,amore,0.695
grazia,Beatrice,0.605
grazia,core,0.804
grazia,amare,0.839
grazia,affetto,0.787
grazia,dolce,0.43
grazia,bello,0.427
grazia,bellezza,0.812
grazia,donna,0.37
grazia,sposa,0.878
grazia,disio,0.659
grazia,carne,0.874
mio,amore,0.175
mio,Beatrice,0.485
mio,core,0.266
mio,amare,0.505
mio,affetto,0.338
mio,dolce,0.758
mio,bello,0.666
mio,bellezza,0.231
mio,donna,0.286
mio,sposa,0.365
mio,disio,0.32
mio,carne,0.225
Dio,amore,0.338
Dio,Beatrice,0.636
Dio,core,0.555
Dio,amare,0.771
Dio,affetto,0.521
Dio,dolce,0.508
Dio,bello,0.42
Dio,bellezza,0.477
Dio,donna,0.241
Dio,sposa,0.698
Dio,disio,0.488
Dio,carne,0.595
santo,amore,0.707
santo,Beatrice,0.577
santo,core,0.73
santo,amare,0.695
santo,affetto,0.82
santo,dolce,0.721
santo,bello,0.796
santo,bellezza,0.772
santo,donna,0.505
santo,sposa,0.713
santo,disio,0.663
santo,carne,0.665
parere,amore,0.638
parere,Beatrice,0.667
parere,core,0.805
parere,amare,0.797
parere,affetto,0.815
parere,dolce,0.573
parere,bello,0.508
parere,bellezza,0.76
parere,donna,0.406
parere,sposa,0.803
parere,disio,0.725
parere,carne,0.767
parlare,amore,0.303
parlare,Beatrice,0.811
parlare,core,0.599
parlare,amare,0.726
parlare,affetto,0.564
parlare,dolce,0.561
parlare,bello,0.364
parlare,bellezza,0.51
parlare,donna,0.577
parlare,sposa,0.671
parlare,disio,0.7
parlare,carne,0.656
donna,amore,0.471
donna,Beatrice,0.754
donna,core,0.61
donna,amare,0.513
donna,affetto,0.677
donna,dolce,0.585
donna,bello,0.598
donna,bellezza,0.616
donna,donna,1.0
donna,sposa,0.547
donna,disio,0.792
donna,carne,0.636
