First Word,Second Word,Similarity
avere,corpo,0.571
avere,viso,0.391
avere,dire,0.538
avere,bocca,0.618
avere,voce,0.585
avere,vedere,0.598
avere,vista,0.605
avere,occhio,0.185
avere,spirare,0.597
avere,vita,0.497
avere,umano,0.588
non,corpo,0.454
non,viso,0.297
non,dire,0.697
non,bocca,0.423
non,voce,0.477
non,vedere,0.587
non,vista,0.538
non,occhio,0.015
non,spirare,0.356
non,vita,0.398
non,umano,0.321
potere,corpo,0.33
potere,viso,0.315
potere,dire,0.706
potere,bocca,0.406
potere,voce,0.498
potere,vedere,0.547
potere,vista,0.536
potere,occhio,0.033
potere,spirare,0.255
potere,vita,0.261
potere,umano,0.26
grazia,corpo,0.827
grazia,viso,0.446
grazia,dire,0.359
grazia,bocca,0.752
grazia,voce,0.571
grazia,vedere,0.65
grazia,vista,0.581
grazia,occhio,0.215
grazia,spirare,0.847
grazia,vita,0.768
grazia,umano,0.784
mio,corpo,0.075
mio,viso,0.423
mio,dire,0.675
mio,bocca,0.351
mio,voce,0.437
mio,vedere,0.207
mio,vista,0.467
mio,occhio,0.436
mio,spirare,0.168
mio,vita,0.089
mio,umano,0.089
Dio,corpo,0.439
Dio,viso,0.434
Dio,dire,0.69
Dio,bocca,0.512
Dio,voce,0.562
Dio,vedere,0.54
Dio,vista,0.594
Dio,occhio,0.157
Dio,spirare,0.462
Dio,vita,0.391
Dio,umano,0.451
santo,corpo,0.644
santo,viso,0.506
santo,dire,0.265
santo,bocca,0.776
santo,voce,0.573
santo,vedere,0.477
santo,vista,0.504
santo,occhio,0.569
santo,spirare,0.817
santo,vita,0.557
santo,umano,0.664
parere,corpo,0.753
parere,viso,0.544
parere,dire,0.524
parere,bocca,0.77
parere,voce,0.692
parere,vedere,0.675
parere,vista,0.646
parere,occhio,0.458
parere,spirare,0.788
parere,vita,0.606
parere,umano,0.616
parlare,corpo,0.482
parlare,viso,0.699
parlare,dire,0.853
parlare,bocca,0.611
parlare,voce,0.828
parlare,vedere,0.539
parlare,vista,0.88
parlare,occhio,0.452
parlare,spirare,0.36
parlare,vita,0.513
parlare,umano,0.163
donna,corpo,0.568
donna,viso,0.887
donna,dire,0.386
donna,bocca,0.685
donna,voce,0.759
donna,vedere,0.372
donna,vista,0.812
donna,occhio,0.838
donna,spirare,0.473
donna,vita,0.662
donna,umano,0.184
