First Word,Second Word,Similarity
avere,essere,0.781
avere,avere,1.0
avere,pensare,0.79
avere,pensiero,0.711
avere,mente,0.475
avere,natura,0.538
avere,anima,0.615
avere,vita,0.497
avere,umano,0.588
avere,nome,0.659
non,essere,0.702
non,avere,0.636
non,pensare,0.843
non,pensiero,0.577
non,mente,0.423
non,natura,0.4
non,anima,0.605
non,vita,0.398
non,umano,0.321
non,nome,0.654
potere,essere,0.66
potere,avere,0.713
potere,pensare,0.862
potere,pensiero,0.569
potere,mente,0.394
potere,natura,0.3
potere,anima,0.543
potere,vita,0.261
potere,umano,0.26
potere,nome,0.636
grazia,essere,0.783
grazia,avere,0.682
grazia,pensare,0.634
grazia,pensiero,0.702
grazia,mente,0.544
grazia,natura,0.835
grazia,anima,0.687
grazia,vita,0.768
grazia,umano,0.784
grazia,nome,0.645
mio,essere,0.234
mio,avere,0.321
mio,pensare,0.393
mio,pensiero,0.435
mio,mente,0.388
mio,natura,-0.118
mio,anima,0.147
mio,vita,0.089
mio,umano,0.089
mio,nome,0.348
Dio,essere,0.661
Dio,avere,0.699
Dio,pensare,0.73
Dio,pensiero,0.6
Dio,mente,0.48
Dio,natura,0.421
Dio,anima,0.509
Dio,vita,0.391
Dio,umano,0.451
Dio,nome,0.59
santo,essere,0.4
santo,avere,0.49
santo,pensare,0.34
santo,pensiero,0.662
santo,mente,0.511
santo,natura,0.48
santo,anima,0.47
santo,vita,0.557
santo,umano,0.664
santo,nome,0.448
parere,essere,0.666
parere,avere,0.685
parere,pensare,0.699
parere,pensiero,0.79
parere,mente,0.566
parere,natura,0.561
parere,anima,0.765
parere,vita,0.606
parere,umano,0.616
parere,nome,0.648
parlare,essere,0.637
parlare,avere,0.607
parlare,pensare,0.899
parlare,pensiero,0.791
parlare,mente,0.753
parlare,natura,0.341
parlare,anima,0.691
parlare,vita,0.513
parlare,umano,0.163
parlare,nome,0.847
donna,essere,0.254
donna,avere,0.261
donna,pensare,0.437
donna,pensiero,0.662
donna,mente,0.86
donna,natura,0.392
donna,anima,0.539
donna,vita,0.662
donna,umano,0.184
donna,nome,0.687
