First Word,Second Word,Similarity
dire,pena,0.524
dire,punire,0.541
dire,colpa,0.578
dire,inferno,0.436
dire,appressare,0.446
dire,giusto,0.572
dire,purgare,0.432
occhio,pena,0.484
occhio,punire,0.494
occhio,colpa,0.401
occhio,inferno,0.525
occhio,appressare,0.536
occhio,giusto,0.445
occhio,purgare,0.434
alto,pena,0.545
alto,punire,0.483
alto,colpa,0.262
alto,inferno,0.56
alto,appressare,0.627
alto,giusto,0.406
alto,purgare,0.532
venire,pena,0.819
venire,punire,0.845
venire,colpa,0.759
venire,inferno,0.868
venire,appressare,0.868
venire,giusto,0.857
venire,purgare,0.823
credere,pena,0.59
credere,punire,0.676
credere,colpa,0.79
credere,inferno,0.596
credere,appressare,0.577
credere,giusto,0.737
credere,purgare,0.606
primo,pena,0.579
primo,punire,0.631
primo,colpa,0.63
primo,inferno,0.678
primo,appressare,0.733
primo,giusto,0.686
primo,purgare,0.658
gente,pena,0.646
gente,punire,0.708
gente,colpa,0.675
gente,inferno,0.701
gente,appressare,0.691
gente,giusto,0.696
gente,purgare,0.707
de,pena,0.674
de,punire,0.64
de,colpa,0.443
de,inferno,0.673
de,appressare,0.708
de,giusto,0.545
de,purgare,0.687
parte,pena,0.403
parte,punire,0.445
parte,colpa,0.391
parte,inferno,0.508
parte,appressare,0.541
parte,giusto,0.437
parte,purgare,0.471
vedere,pena,0.624
vedere,punire,0.723
vedere,colpa,0.668
vedere,inferno,0.738
vedere,appressare,0.699
vedere,giusto,0.714
vedere,purgare,0.72
