First Word,Second Word,Similarity
suo,gente,0.254
suo,persona,0.343
suo,potere,0.123
suo,mondo,0.424
suo,città,0.414
suo,duca,0.024
suo,maestro,-0.024
suo,legge,0.531
suo,regno,0.49
suo,principe,0.561
suo,pace,0.455
non,gente,0.642
non,persona,0.5
non,potere,0.835
non,mondo,0.399
non,città,0.605
non,duca,0.359
non,maestro,0.531
non,legge,0.563
non,regno,0.46
non,principe,0.467
non,pace,0.472
fare,gente,0.584
fare,persona,0.776
fare,potere,0.673
fare,mondo,0.507
fare,città,0.829
fare,duca,0.472
fare,maestro,0.557
fare,legge,0.787
fare,regno,0.727
fare,principe,0.71
fare,pace,0.759
tuo,gente,0.313
tuo,persona,0.379
tuo,potere,0.537
tuo,mondo,0.22
tuo,città,0.565
tuo,duca,0.465
tuo,maestro,0.491
tuo,legge,0.517
tuo,regno,0.392
tuo,principe,0.472
tuo,pace,0.436
mio,gente,0.08
mio,persona,0.166
mio,potere,0.281
mio,mondo,-0.044
mio,città,0.356
mio,duca,0.477
mio,maestro,0.424
mio,legge,0.28
mio,regno,0.155
mio,principe,0.284
mio,pace,0.196
amore,gente,0.383
amore,persona,0.67
amore,potere,0.077
amore,mondo,0.555
amore,città,0.636
amore,duca,0.214
amore,maestro,0.173
amore,legge,0.661
amore,regno,0.738
amore,principe,0.643
amore,pace,0.754
altro,gente,0.466
altro,persona,0.475
altro,potere,-0.194
altro,mondo,0.525
altro,città,0.346
altro,duca,-0.247
altro,maestro,-0.269
altro,legge,0.534
altro,regno,0.643
altro,principe,0.591
altro,pace,0.53
tutto,gente,0.379
tutto,persona,0.536
tutto,potere,-0.186
tutto,mondo,0.61
tutto,città,0.429
tutto,duca,-0.154
tutto,maestro,-0.212
tutto,legge,0.593
tutto,regno,0.698
tutto,principe,0.651
tutto,pace,0.638
son,gente,0.551
son,persona,0.608
son,potere,0.68
son,mondo,0.108
son,città,0.686
son,duca,0.657
son,maestro,0.743
son,legge,0.567
son,regno,0.452
son,principe,0.523
son,pace,0.454
sapere,gente,0.541
sapere,persona,0.502
sapere,potere,0.842
sapere,mondo,0.264
sapere,città,0.602
sapere,duca,0.455
sapere,maestro,0.633
sapere,legge,0.51
sapere,regno,0.377
sapere,principe,0.392
sapere,pace,0.399
