First Word,Second Word,Similarity
lume,Dio,0.185
lume,Cristo,0.616
lume,spirito,0.732
lume,anima,0.54
lume,santo,0.641
lume,fé,0.546
lume,cielo,0.777
lume,padre,0.467
lume,figlio,0.697
lume,divino,0.799
lume,paradiso,0.648
lume,angelo,0.698
lume,Maria,0.517
lume,pregare,0.469
mente,Dio,0.48
mente,Cristo,0.598
mente,spirito,0.626
mente,anima,0.66
mente,santo,0.511
mente,fé,0.598
mente,cielo,0.592
mente,padre,0.857
mente,figlio,0.809
mente,divino,0.343
mente,paradiso,0.783
mente,angelo,0.566
mente,Maria,0.616
mente,pregare,0.675
luce,Dio,0.124
luce,Cristo,0.441
luce,spirito,0.581
luce,anima,0.488
luce,santo,0.652
luce,fé,0.393
luce,cielo,0.678
luce,padre,0.47
luce,figlio,0.649
luce,divino,0.632
luce,paradiso,0.571
luce,angelo,0.531
luce,Maria,0.384
luce,pregare,0.368
nostro,Dio,0.623
nostro,Cristo,0.634
nostro,spirito,0.56
nostro,anima,0.378
nostro,santo,0.639
nostro,fé,0.596
nostro,cielo,0.523
nostro,padre,0.446
nostro,figlio,0.457
nostro,divino,0.668
nostro,paradiso,0.623
nostro,angelo,0.554
nostro,Maria,0.557
nostro,pregare,0.61
mio,Dio,0.511
mio,Cristo,0.317
mio,spirito,0.257
mio,anima,0.147
mio,santo,0.492
mio,fé,0.423
mio,cielo,0.187
mio,padre,0.508
mio,figlio,0.358
mio,divino,0.105
mio,paradiso,0.433
mio,angelo,0.233
mio,Maria,0.419
mio,pregare,0.513
volgere,Dio,0.413
volgere,Cristo,0.362
volgere,spirito,0.413
volgere,anima,0.304
volgere,santo,0.566
volgere,fé,0.518
volgere,cielo,0.372
volgere,padre,0.667
volgere,figlio,0.584
volgere,divino,0.197
volgere,paradiso,0.591
volgere,angelo,0.417
volgere,Maria,0.551
volgere,pregare,0.544
mondo,Dio,0.341
mondo,Cristo,0.595
mondo,spirito,0.57
mondo,anima,0.428
mondo,santo,0.421
mondo,fé,0.579
mondo,cielo,0.666
mondo,padre,0.336
mondo,figlio,0.511
mondo,divino,0.742
mondo,paradiso,0.527
mondo,angelo,0.538
mondo,Maria,0.405
mondo,pregare,0.432
dolce,Dio,0.508
dolce,Cristo,0.534
dolce,spirito,0.547
dolce,anima,0.414
dolce,santo,0.721
dolce,fé,0.641
dolce,cielo,0.47
dolce,padre,0.767
dolce,figlio,0.71
dolce,divino,0.362
dolce,paradiso,0.696
dolce,angelo,0.518
dolce,Maria,0.649
dolce,pregare,0.683
vista,Dio,0.594
vista,Cristo,0.666
vista,spirito,0.653
vista,anima,0.715
vista,santo,0.504
vista,fé,0.697
vista,cielo,0.591
vista,padre,0.921
vista,figlio,0.816
vista,divino,0.329
vista,paradiso,0.836
vista,angelo,0.61
vista,Maria,0.719
vista,pregare,0.78
viso,Dio,0.434
viso,Cristo,0.519
viso,spirito,0.606
viso,anima,0.628
viso,santo,0.506
viso,fé,0.555
viso,cielo,0.565
viso,padre,0.842
viso,figlio,0.765
viso,divino,0.276
viso,paradiso,0.77
viso,angelo,0.562
viso,Maria,0.633
viso,pregare,0.653
