First Word,Second Word,Similarity
lume,peccato,0.725
lume,malvagio,0.655
lume,peccare,0.65
lume,colpa,0.604
lume,ira,0.473
lume,inferno,0.708
lume,martiro,0.682
lume,demonio,0.64
lume,tormento,0.564
lume,piangere,0.317
mente,peccato,0.621
mente,malvagio,0.612
mente,peccare,0.735
mente,colpa,0.731
mente,ira,0.63
mente,inferno,0.672
mente,martiro,0.66
mente,demonio,0.662
mente,tormento,0.665
mente,piangere,0.629
luce,peccato,0.585
luce,malvagio,0.511
luce,peccare,0.543
luce,colpa,0.471
luce,ira,0.335
luce,inferno,0.584
luce,martiro,0.559
luce,demonio,0.523
luce,tormento,0.459
luce,piangere,0.217
nostro,peccato,0.648
nostro,malvagio,0.611
nostro,peccare,0.582
nostro,colpa,0.575
nostro,ira,0.539
nostro,inferno,0.584
nostro,martiro,0.617
nostro,demonio,0.623
nostro,tormento,0.633
nostro,piangere,0.37
mio,peccato,0.327
mio,malvagio,0.334
mio,peccare,0.336
mio,colpa,0.343
mio,ira,0.379
mio,inferno,0.288
mio,martiro,0.365
mio,demonio,0.417
mio,tormento,0.483
mio,piangere,0.371
volgere,peccato,0.481
volgere,malvagio,0.462
volgere,peccare,0.531
volgere,colpa,0.415
volgere,ira,0.362
volgere,inferno,0.481
volgere,martiro,0.52
volgere,demonio,0.534
volgere,tormento,0.527
volgere,piangere,0.361
mondo,peccato,0.63
mondo,malvagio,0.552
mondo,peccare,0.549
mondo,colpa,0.604
mondo,ira,0.508
mondo,inferno,0.571
mondo,martiro,0.554
mondo,demonio,0.517
mondo,tormento,0.516
mondo,piangere,0.285
dolce,peccato,0.609
dolce,malvagio,0.588
dolce,peccare,0.621
dolce,colpa,0.584
dolce,ira,0.571
dolce,inferno,0.573
dolce,martiro,0.637
dolce,demonio,0.656
dolce,tormento,0.686
dolce,piangere,0.541
vista,peccato,0.66
vista,malvagio,0.671
vista,peccare,0.779
vista,colpa,0.815
vista,ira,0.752
vista,inferno,0.698
vista,martiro,0.716
vista,demonio,0.724
vista,tormento,0.759
vista,piangere,0.771
viso,peccato,0.592
viso,malvagio,0.592
viso,peccare,0.721
viso,colpa,0.661
viso,ira,0.56
viso,inferno,0.659
viso,martiro,0.644
viso,demonio,0.65
viso,tormento,0.643
viso,piangere,0.589
