First Word,Second Word,Similarity
amore,amore,1.0
amore,Beatrice,0.479
amore,core,0.657
amore,amare,0.628
amore,affetto,0.788
amore,dolce,0.47
amore,bello,0.457
amore,bellezza,0.725
amore,donna,0.471
amore,sposa,0.643
amore,disio,0.653
amore,carne,0.692
Beatrice,amore,0.479
Beatrice,Beatrice,1.0
Beatrice,core,0.851
Beatrice,amare,0.841
Beatrice,affetto,0.824
Beatrice,dolce,0.667
Beatrice,bello,0.606
Beatrice,bellezza,0.78
Beatrice,donna,0.754
Beatrice,sposa,0.839
Beatrice,disio,0.873
Beatrice,carne,0.823
core,amore,0.657
core,Beatrice,0.851
core,core,1.0
core,amare,0.886
core,affetto,0.946
core,dolce,0.571
core,bello,0.572
core,bellezza,0.962
core,donna,0.61
core,sposa,0.955
core,disio,0.896
core,carne,0.949
amare,amore,0.628
amare,Beatrice,0.841
amare,core,0.886
amare,amare,1.0
amare,affetto,0.871
amare,dolce,0.699
amare,bello,0.625
amare,bellezza,0.851
amare,donna,0.513
amare,sposa,0.96
amare,disio,0.781
amare,carne,0.895
affetto,amore,0.788
affetto,Beatrice,0.824
affetto,core,0.946
affetto,amare,0.871
affetto,affetto,1.0
affetto,dolce,0.655
affetto,bello,0.635
affetto,bellezza,0.961
affetto,donna,0.677
affetto,sposa,0.918
affetto,disio,0.916
affetto,carne,0.925
dolce,amore,0.47
dolce,Beatrice,0.667
dolce,core,0.571
dolce,amare,0.699
dolce,affetto,0.655
dolce,dolce,1.0
dolce,bello,0.729
dolce,bellezza,0.559
dolce,donna,0.585
dolce,sposa,0.63
dolce,disio,0.628
dolce,carne,0.552
bello,amore,0.457
bello,Beatrice,0.606
bello,core,0.572
bello,amare,0.625
bello,affetto,0.635
bello,dolce,0.729
bello,bello,1.0
bello,bellezza,0.574
bello,donna,0.598
bello,sposa,0.596
bello,disio,0.562
bello,carne,0.528
bellezza,amore,0.725
bellezza,Beatrice,0.78
bellezza,core,0.962
bellezza,amare,0.851
bellezza,affetto,0.961
bellezza,dolce,0.559
bellezza,bello,0.574
bellezza,bellezza,1.0
bellezza,donna,0.616
bellezza,sposa,0.935
bellezza,disio,0.891
bellezza,carne,0.945
donna,amore,0.471
donna,Beatrice,0.754
donna,core,0.61
donna,amare,0.513
donna,affetto,0.677
donna,dolce,0.585
donna,bello,0.598
donna,bellezza,0.616
donna,donna,1.0
donna,sposa,0.547
donna,disio,0.792
donna,carne,0.636
sposa,amore,0.643
sposa,Beatrice,0.839
sposa,core,0.955
sposa,amare,0.96
sposa,affetto,0.918
sposa,dolce,0.63
sposa,bello,0.596
sposa,bellezza,0.935
sposa,donna,0.547
sposa,sposa,1.0
sposa,disio,0.845
sposa,carne,0.955
disio,amore,0.653
disio,Beatrice,0.873
disio,core,0.896
disio,amare,0.781
disio,affetto,0.916
disio,dolce,0.628
disio,bello,0.562
disio,bellezza,0.891
disio,donna,0.792
disio,sposa,0.845
disio,disio,1.0
disio,carne,0.876
carne,amore,0.692
carne,Beatrice,0.823
carne,core,0.949
carne,amare,0.895
carne,affetto,0.925
carne,dolce,0.552
carne,bello,0.528
carne,bellezza,0.945
carne,donna,0.636
carne,sposa,0.955
carne,disio,0.876
carne,carne,1.0
