First Word,Second Word,Similarity
amore,amore,1.0
amore,letizia,0.789
amore,vita,0.788
amore,affetto,0.788
amore,raggiare,0.788
amore,stella,0.78
amore,virtù,0.777
amore,notte,0.776
amore,creatura,0.773
amore,raggio,0.77
Beatrice,amore,0.479
Beatrice,letizia,0.786
Beatrice,vita,0.65
Beatrice,affetto,0.824
Beatrice,raggiare,0.73
Beatrice,stella,0.591
Beatrice,virtù,0.711
Beatrice,notte,0.632
Beatrice,creatura,0.676
Beatrice,raggio,0.401
core,amore,0.657
core,letizia,0.922
core,vita,0.767
core,affetto,0.946
core,raggiare,0.926
core,stella,0.816
core,virtù,0.853
core,notte,0.891
core,creatura,0.924
core,raggio,0.733
amare,amore,0.628
amare,letizia,0.84
amare,vita,0.684
amare,affetto,0.871
amare,raggiare,0.829
amare,stella,0.712
amare,virtù,0.768
amare,notte,0.772
amare,creatura,0.799
amare,raggio,0.58
affetto,amore,0.788
affetto,letizia,0.971
affetto,vita,0.833
affetto,affetto,1.0
affetto,raggiare,0.965
affetto,stella,0.872
affetto,virtù,0.9
affetto,notte,0.909
affetto,creatura,0.94
affetto,raggio,0.796
dolce,amore,0.47
dolce,letizia,0.631
dolce,vita,0.488
dolce,affetto,0.655
dolce,raggiare,0.606
dolce,stella,0.551
dolce,virtù,0.507
dolce,notte,0.43
dolce,creatura,0.522
dolce,raggio,0.357
bello,amore,0.457
bello,letizia,0.62
bello,vita,0.38
bello,affetto,0.635
bello,raggiare,0.641
bello,stella,0.607
bello,virtù,0.577
bello,notte,0.458
bello,creatura,0.594
bello,raggio,0.445
bellezza,amore,0.725
bellezza,letizia,0.942
bellezza,vita,0.799
bellezza,affetto,0.961
bellezza,raggiare,0.953
bellezza,stella,0.82
bellezza,virtù,0.882
bellezza,notte,0.903
bellezza,creatura,0.955
bellezza,raggio,0.797
donna,amore,0.471
donna,letizia,0.7
donna,vita,0.662
donna,affetto,0.677
donna,raggiare,0.615
donna,stella,0.552
donna,virtù,0.704
donna,notte,0.456
donna,creatura,0.56
donna,raggio,0.411
sposa,amore,0.643
sposa,letizia,0.882
sposa,vita,0.752
sposa,affetto,0.918
sposa,raggiare,0.893
sposa,stella,0.753
sposa,virtù,0.838
sposa,notte,0.843
sposa,creatura,0.882
sposa,raggio,0.668
disio,amore,0.653
disio,letizia,0.909
disio,vita,0.8
disio,affetto,0.916
disio,raggiare,0.843
disio,stella,0.73
disio,virtù,0.84
disio,notte,0.756
disio,creatura,0.814
disio,raggio,0.624
carne,amore,0.692
carne,letizia,0.917
carne,vita,0.858
carne,affetto,0.925
carne,raggiare,0.91
carne,stella,0.792
carne,virtù,0.915
carne,notte,0.87
carne,creatura,0.892
carne,raggio,0.745
