First Word,Second Word,Similarity
amore,gente,0.383
amore,persona,0.67
amore,potere,0.077
amore,mondo,0.555
amore,città,0.636
amore,duca,0.214
amore,maestro,0.173
amore,legge,0.661
amore,regno,0.738
amore,principe,0.643
amore,pace,0.754
Beatrice,gente,0.562
Beatrice,persona,0.785
Beatrice,potere,0.578
Beatrice,mondo,0.347
Beatrice,città,0.882
Beatrice,duca,0.818
Beatrice,maestro,0.813
Beatrice,legge,0.803
Beatrice,regno,0.71
Beatrice,principe,0.78
Beatrice,pace,0.77
core,gente,0.716
core,persona,0.918
core,potere,0.479
core,mondo,0.615
core,città,0.95
core,duca,0.511
core,maestro,0.511
core,legge,0.981
core,regno,0.944
core,principe,0.969
core,pace,0.944
amare,gente,0.669
amare,persona,0.793
amare,potere,0.655
amare,mondo,0.509
amare,città,0.928
amare,duca,0.513
amare,maestro,0.579
amare,legge,0.906
amare,regno,0.815
amare,principe,0.885
amare,pace,0.849
affetto,gente,0.575
affetto,persona,0.885
affetto,potere,0.327
affetto,mondo,0.562
affetto,città,0.923
affetto,duca,0.52
affetto,maestro,0.481
affetto,legge,0.93
affetto,regno,0.917
affetto,principe,0.935
affetto,pace,0.949
dolce,gente,0.247
dolce,persona,0.483
dolce,potere,0.293
dolce,mondo,0.222
dolce,città,0.616
dolce,duca,0.595
dolce,maestro,0.567
dolce,legge,0.562
dolce,regno,0.489
dolce,principe,0.562
dolce,pace,0.543
bello,gente,0.233
bello,persona,0.474
bello,potere,0.17
bello,mondo,0.254
bello,città,0.557
bello,duca,0.425
bello,maestro,0.339
bello,legge,0.539
bello,regno,0.513
bello,principe,0.581
bello,pace,0.494
bellezza,gente,0.604
bellezza,persona,0.854
bellezza,potere,0.352
bellezza,mondo,0.578
bellezza,città,0.913
bellezza,duca,0.438
bellezza,maestro,0.41
bellezza,legge,0.952
bellezza,regno,0.926
bellezza,principe,0.97
bellezza,pace,0.967
donna,gente,0.172
donna,persona,0.589
donna,potere,0.131
donna,mondo,0.227
donna,città,0.594
donna,duca,0.792
donna,maestro,0.685
donna,legge,0.513
donna,regno,0.506
donna,principe,0.513
donna,pace,0.589
sposa,gente,0.692
sposa,persona,0.861
sposa,potere,0.594
sposa,mondo,0.583
sposa,città,0.962
sposa,duca,0.481
sposa,maestro,0.523
sposa,legge,0.971
sposa,regno,0.9
sposa,principe,0.956
sposa,pace,0.931
disio,gente,0.491
disio,persona,0.826
disio,potere,0.376
disio,mondo,0.486
disio,città,0.888
disio,duca,0.725
disio,maestro,0.679
disio,legge,0.859
disio,regno,0.825
disio,principe,0.835
disio,pace,0.89
carne,gente,0.698
carne,persona,0.881
carne,potere,0.515
carne,mondo,0.653
carne,città,0.923
carne,duca,0.488
carne,maestro,0.528
carne,legge,0.942
carne,regno,0.916
carne,principe,0.915
carne,pace,0.944
