First Word,Second Word,Similarity
amore,pena,0.601
amore,punire,0.619
amore,colpa,0.588
amore,inferno,0.631
amore,appressare,0.689
amore,giusto,0.65
amore,purgare,0.612
Beatrice,pena,0.823
Beatrice,punire,0.859
Beatrice,colpa,0.832
Beatrice,inferno,0.84
Beatrice,appressare,0.804
Beatrice,giusto,0.845
Beatrice,purgare,0.785
core,pena,0.925
core,punire,0.965
core,colpa,0.896
core,inferno,0.983
core,appressare,0.969
core,giusto,0.934
core,purgare,0.962
amare,pena,0.896
amare,punire,0.938
amare,colpa,0.922
amare,inferno,0.91
amare,appressare,0.905
amare,giusto,0.962
amare,purgare,0.917
affetto,pena,0.888
affetto,punire,0.917
affetto,colpa,0.847
affetto,inferno,0.941
affetto,appressare,0.953
affetto,giusto,0.904
affetto,purgare,0.904
dolce,pena,0.616
dolce,punire,0.589
dolce,colpa,0.584
dolce,inferno,0.573
dolce,appressare,0.62
dolce,giusto,0.636
dolce,purgare,0.575
bello,pena,0.58
bello,punire,0.564
bello,colpa,0.486
bello,inferno,0.586
bello,appressare,0.61
bello,giusto,0.593
bello,purgare,0.574
bellezza,pena,0.901
bellezza,punire,0.934
bellezza,colpa,0.862
bellezza,inferno,0.964
bellezza,appressare,0.952
bellezza,giusto,0.913
bellezza,purgare,0.942
donna,pena,0.477
donna,punire,0.534
donna,colpa,0.54
donna,inferno,0.574
donna,appressare,0.54
donna,giusto,0.545
donna,purgare,0.465
sposa,pena,0.932
sposa,punire,0.978
sposa,colpa,0.949
sposa,inferno,0.97
sposa,appressare,0.954
sposa,giusto,0.984
sposa,purgare,0.968
disio,pena,0.821
disio,punire,0.852
disio,colpa,0.834
disio,inferno,0.87
disio,appressare,0.864
disio,giusto,0.851
disio,purgare,0.806
carne,pena,0.847
carne,punire,0.928
carne,colpa,0.936
carne,inferno,0.942
carne,appressare,0.914
carne,giusto,0.945
carne,purgare,0.912
