First Word,Second Word,Similarity
amore,peccato,0.7
amore,malvagio,0.633
amore,peccare,0.657
amore,colpa,0.588
amore,ira,0.496
amore,inferno,0.631
amore,martiro,0.675
amore,demonio,0.643
amore,tormento,0.587
amore,piangere,0.303
Beatrice,peccato,0.773
Beatrice,malvagio,0.81
Beatrice,peccare,0.878
Beatrice,colpa,0.832
Beatrice,ira,0.796
Beatrice,inferno,0.84
Beatrice,martiro,0.824
Beatrice,demonio,0.845
Beatrice,tormento,0.861
Beatrice,piangere,0.801
core,peccato,0.961
core,malvagio,0.967
core,peccare,0.976
core,colpa,0.896
core,ira,0.847
core,inferno,0.983
core,martiro,0.974
core,demonio,0.965
core,tormento,0.933
core,piangere,0.731
amare,peccato,0.918
amare,malvagio,0.929
amare,peccare,0.929
amare,colpa,0.922
amare,ira,0.923
amare,inferno,0.91
amare,martiro,0.926
amare,demonio,0.941
amare,tormento,0.971
amare,piangere,0.816
affetto,peccato,0.944
affetto,malvagio,0.922
affetto,peccare,0.947
affetto,colpa,0.847
affetto,ira,0.76
affetto,inferno,0.941
affetto,martiro,0.95
affetto,demonio,0.933
affetto,tormento,0.888
affetto,piangere,0.629
dolce,peccato,0.609
dolce,malvagio,0.588
dolce,peccare,0.621
dolce,colpa,0.584
dolce,ira,0.571
dolce,inferno,0.573
dolce,martiro,0.637
dolce,demonio,0.656
dolce,tormento,0.686
dolce,piangere,0.541
bello,peccato,0.593
bello,malvagio,0.573
bello,peccare,0.576
bello,colpa,0.486
bello,ira,0.471
bello,inferno,0.586
bello,martiro,0.614
bello,demonio,0.641
bello,tormento,0.613
bello,piangere,0.374
bellezza,peccato,0.958
bellezza,malvagio,0.947
bellezza,peccare,0.946
bellezza,colpa,0.862
bellezza,ira,0.757
bellezza,inferno,0.964
bellezza,martiro,0.958
bellezza,demonio,0.932
bellezza,tormento,0.881
bellezza,piangere,0.61
donna,peccato,0.496
donna,malvagio,0.487
donna,peccare,0.613
donna,colpa,0.54
donna,ira,0.408
donna,inferno,0.574
donna,martiro,0.549
donna,demonio,0.535
donna,tormento,0.51
donna,piangere,0.448
sposa,peccato,0.962
sposa,malvagio,0.976
sposa,peccare,0.975
sposa,colpa,0.949
sposa,ira,0.917
sposa,inferno,0.97
sposa,martiro,0.972
sposa,demonio,0.97
sposa,tormento,0.969
sposa,piangere,0.783
disio,peccato,0.823
disio,malvagio,0.831
disio,peccare,0.893
disio,colpa,0.834
disio,ira,0.731
disio,inferno,0.87
disio,martiro,0.869
disio,demonio,0.849
disio,tormento,0.823
disio,piangere,0.676
carne,peccato,0.929
carne,malvagio,0.92
carne,peccare,0.944
carne,colpa,0.936
carne,ira,0.845
carne,inferno,0.942
carne,martiro,0.923
carne,demonio,0.908
carne,tormento,0.896
carne,piangere,0.725
