First Word,Second Word,Similarity
amore,corpo,0.713
amore,viso,0.464
amore,dire,0.229
amore,bocca,0.697
amore,voce,0.56
amore,vedere,0.355
amore,vista,0.551
amore,occhio,0.42
amore,spirare,0.759
amore,vita,0.788
amore,umano,0.601
Beatrice,corpo,0.667
Beatrice,viso,0.866
Beatrice,dire,0.708
Beatrice,bocca,0.846
Beatrice,voce,0.856
Beatrice,vedere,0.635
Beatrice,vista,0.877
Beatrice,occhio,0.708
Beatrice,spirare,0.645
Beatrice,vita,0.65
Beatrice,umano,0.39
core,corpo,0.876
core,viso,0.687
core,dire,0.442
core,bocca,0.95
core,voce,0.773
core,vedere,0.724
core,vista,0.729
core,occhio,0.556
core,spirare,0.909
core,vita,0.767
core,umano,0.734
amare,corpo,0.755
amare,viso,0.63
amare,dire,0.656
amare,bocca,0.86
amare,voce,0.784
amare,vedere,0.73
amare,vista,0.776
amare,occhio,0.448
amare,spirare,0.813
amare,vita,0.684
amare,umano,0.677
affetto,corpo,0.865
affetto,viso,0.747
affetto,dire,0.427
affetto,bocca,0.962
affetto,voce,0.807
affetto,vedere,0.635
affetto,vista,0.768
affetto,occhio,0.654
affetto,spirare,0.917
affetto,vita,0.833
affetto,umano,0.704
dolce,corpo,0.438
dolce,viso,0.632
dolce,dire,0.638
dolce,bocca,0.639
dolce,voce,0.732
dolce,vedere,0.4
dolce,vista,0.722
dolce,occhio,0.585
dolce,spirare,0.504
dolce,vita,0.488
dolce,umano,0.335
bello,corpo,0.452
bello,viso,0.621
bello,dire,0.399
bello,bocca,0.631
bello,voce,0.556
bello,vedere,0.437
bello,vista,0.534
bello,occhio,0.628
bello,spirare,0.56
bello,vita,0.38
bello,umano,0.41
bellezza,corpo,0.879
bellezza,viso,0.652
bellezza,dire,0.303
bellezza,bocca,0.963
bellezza,voce,0.747
bellezza,vedere,0.614
bellezza,vista,0.689
bellezza,occhio,0.543
bellezza,spirare,0.935
bellezza,vita,0.799
bellezza,umano,0.745
donna,corpo,0.568
donna,viso,0.887
donna,dire,0.386
donna,bocca,0.685
donna,voce,0.759
donna,vedere,0.372
donna,vista,0.812
donna,occhio,0.838
donna,spirare,0.473
donna,vita,0.662
donna,umano,0.184
sposa,corpo,0.839
sposa,viso,0.642
sposa,dire,0.528
sposa,bocca,0.924
sposa,voce,0.79
sposa,vedere,0.712
sposa,vista,0.751
sposa,occhio,0.457
sposa,spirare,0.884
sposa,vita,0.752
sposa,umano,0.743
disio,corpo,0.8
disio,viso,0.849
disio,dire,0.475
disio,bocca,0.929
disio,voce,0.89
disio,vedere,0.538
disio,vista,0.867
disio,occhio,0.707
disio,spirare,0.782
disio,vita,0.8
disio,umano,0.5
carne,corpo,0.93
carne,viso,0.682
carne,dire,0.435
carne,bocca,0.916
carne,voce,0.788
carne,vedere,0.704
carne,vista,0.781
carne,occhio,0.495
carne,spirare,0.883
carne,vita,0.858
carne,umano,0.739
