First Word,Second Word,Similarity
gente,gente,1.0
gente,persona,0.75
gente,potere,0.576
gente,mondo,0.659
gente,città,0.654
gente,duca,0.142
gente,maestro,0.29
gente,legge,0.723
gente,regno,0.759
gente,principe,0.658
gente,pace,0.635
persona,gente,0.75
persona,persona,1.0
persona,potere,0.452
persona,mondo,0.618
persona,città,0.89
persona,duca,0.446
persona,maestro,0.454
persona,legge,0.903
persona,regno,0.914
persona,principe,0.869
persona,pace,0.869
potere,gente,0.576
potere,persona,0.452
potere,potere,1.0
potere,mondo,0.229
potere,città,0.614
potere,duca,0.419
potere,maestro,0.587
potere,legge,0.522
potere,regno,0.356
potere,principe,0.438
potere,pace,0.388
mondo,gente,0.659
mondo,persona,0.618
mondo,potere,0.229
mondo,mondo,1.0
mondo,città,0.482
mondo,duca,-0.019
mondo,maestro,0.087
mondo,legge,0.638
mondo,regno,0.757
mondo,principe,0.553
mondo,pace,0.602
città,gente,0.654
città,persona,0.89
città,potere,0.614
città,mondo,0.482
città,città,1.0
città,duca,0.592
città,maestro,0.612
città,legge,0.952
città,regno,0.871
città,principe,0.935
città,pace,0.92
duca,gente,0.142
duca,persona,0.446
duca,potere,0.419
duca,mondo,-0.019
duca,città,0.592
duca,duca,1.0
duca,maestro,0.935
duca,legge,0.436
duca,regno,0.31
duca,principe,0.394
duca,pace,0.443
maestro,gente,0.29
maestro,persona,0.454
maestro,potere,0.587
maestro,mondo,0.087
maestro,città,0.612
maestro,duca,0.935
maestro,maestro,1.0
maestro,legge,0.458
maestro,regno,0.335
maestro,principe,0.385
maestro,pace,0.448
legge,gente,0.723
legge,persona,0.903
legge,potere,0.522
legge,mondo,0.638
legge,città,0.952
legge,duca,0.436
legge,maestro,0.458
legge,legge,1.0
legge,regno,0.943
legge,principe,0.974
legge,pace,0.945
regno,gente,0.759
regno,persona,0.914
regno,potere,0.356
regno,mondo,0.757
regno,città,0.871
regno,duca,0.31
regno,maestro,0.335
regno,legge,0.943
regno,regno,1.0
regno,principe,0.92
regno,pace,0.931
principe,gente,0.658
principe,persona,0.869
principe,potere,0.438
principe,mondo,0.553
principe,città,0.935
principe,duca,0.394
principe,maestro,0.385
principe,legge,0.974
principe,regno,0.92
principe,principe,1.0
principe,pace,0.932
pace,gente,0.635
pace,persona,0.869
pace,potere,0.388
pace,mondo,0.602
pace,città,0.92
pace,duca,0.443
pace,maestro,0.448
pace,legge,0.945
pace,regno,0.931
pace,principe,0.932
pace,pace,1.0
