First Word,Second Word,Similarity
pena,gente,0.646
pena,persona,0.822
pena,potere,0.543
pena,mondo,0.45
pena,città,0.942
pena,duca,0.497
pena,maestro,0.487
pena,legge,0.936
pena,regno,0.852
pena,principe,0.945
pena,pace,0.881
punire,gente,0.708
punire,persona,0.88
punire,potere,0.601
punire,mondo,0.515
punire,città,0.976
punire,duca,0.504
punire,maestro,0.529
punire,legge,0.968
punire,regno,0.893
punire,principe,0.967
punire,pace,0.927
colpa,gente,0.675
colpa,persona,0.804
colpa,potere,0.679
colpa,mondo,0.604
colpa,città,0.922
colpa,duca,0.546
colpa,maestro,0.614
colpa,legge,0.917
colpa,regno,0.821
colpa,principe,0.86
colpa,pace,0.884
inferno,gente,0.701
inferno,persona,0.895
inferno,potere,0.499
inferno,mondo,0.571
inferno,città,0.955
inferno,duca,0.473
inferno,maestro,0.484
inferno,legge,0.976
inferno,regno,0.927
inferno,principe,0.986
inferno,pace,0.94
appressare,gente,0.691
appressare,persona,0.892
appressare,potere,0.433
appressare,mondo,0.583
appressare,città,0.935
appressare,duca,0.446
appressare,maestro,0.444
appressare,legge,0.974
appressare,regno,0.936
appressare,principe,0.972
appressare,pace,0.937
giusto,gente,0.696
giusto,persona,0.843
giusto,potere,0.62
giusto,mondo,0.585
giusto,città,0.954
giusto,duca,0.505
giusto,maestro,0.568
giusto,legge,0.952
giusto,regno,0.886
giusto,principe,0.924
giusto,pace,0.922
purgare,gente,0.707
purgare,persona,0.862
purgare,potere,0.552
purgare,mondo,0.567
purgare,città,0.945
purgare,duca,0.392
purgare,maestro,0.413
purgare,legge,0.976
purgare,regno,0.907
purgare,principe,0.985
purgare,pace,0.911
