First Word,Second Word,Similarity
pena,pena,1.0
pena,punire,0.962
pena,colpa,0.861
pena,inferno,0.941
pena,appressare,0.946
pena,giusto,0.921
pena,purgare,0.952
punire,pena,0.962
punire,punire,1.0
punire,colpa,0.918
punire,inferno,0.981
punire,appressare,0.959
punire,giusto,0.964
punire,purgare,0.979
colpa,pena,0.861
colpa,punire,0.918
colpa,colpa,1.0
colpa,inferno,0.892
colpa,appressare,0.874
colpa,giusto,0.952
colpa,purgare,0.888
inferno,pena,0.941
inferno,punire,0.981
inferno,colpa,0.892
inferno,inferno,1.0
inferno,appressare,0.97
inferno,giusto,0.948
inferno,purgare,0.979
appressare,pena,0.946
appressare,punire,0.959
appressare,colpa,0.874
appressare,inferno,0.97
appressare,appressare,1.0
appressare,giusto,0.937
appressare,purgare,0.96
giusto,pena,0.921
giusto,punire,0.964
giusto,colpa,0.952
giusto,inferno,0.948
giusto,appressare,0.937
giusto,giusto,1.0
giusto,purgare,0.944
purgare,pena,0.952
purgare,punire,0.979
purgare,colpa,0.888
purgare,inferno,0.979
purgare,appressare,0.96
purgare,giusto,0.944
purgare,purgare,1.0
