First Word,Second Word,Similarity
pena,corpo,0.722
pena,viso,0.603
pena,dire,0.524
pena,bocca,0.91
pena,voce,0.758
pena,vedere,0.624
pena,vista,0.682
pena,occhio,0.484
pena,spirare,0.834
pena,vita,0.6
pena,umano,0.644
punire,corpo,0.808
punire,viso,0.647
punire,dire,0.541
punire,bocca,0.937
punire,voce,0.779
punire,vedere,0.723
punire,vista,0.73
punire,occhio,0.494
punire,spirare,0.871
punire,vita,0.702
punire,umano,0.691
colpa,corpo,0.823
colpa,viso,0.661
colpa,dire,0.578
colpa,bocca,0.862
colpa,voce,0.805
colpa,vedere,0.668
colpa,vista,0.815
colpa,occhio,0.401
colpa,spirare,0.777
colpa,vita,0.775
colpa,umano,0.654
inferno,corpo,0.853
inferno,viso,0.659
inferno,dire,0.436
inferno,bocca,0.948
inferno,voce,0.753
inferno,vedere,0.738
inferno,vista,0.698
inferno,occhio,0.525
inferno,spirare,0.916
inferno,vita,0.726
inferno,umano,0.743
appressare,corpo,0.844
appressare,viso,0.633
appressare,dire,0.446
appressare,bocca,0.941
appressare,voce,0.762
appressare,vedere,0.699
appressare,vista,0.692
appressare,occhio,0.536
appressare,spirare,0.931
appressare,vita,0.727
appressare,umano,0.757
giusto,corpo,0.834
giusto,viso,0.652
giusto,dire,0.572
giusto,bocca,0.91
giusto,voce,0.819
giusto,vedere,0.714
giusto,vista,0.778
giusto,occhio,0.445
giusto,spirare,0.864
giusto,vita,0.749
giusto,umano,0.702
purgare,corpo,0.808
purgare,viso,0.564
purgare,dire,0.432
purgare,bocca,0.922
purgare,voce,0.707
purgare,vedere,0.72
purgare,vista,0.641
purgare,occhio,0.434
purgare,spirare,0.905
purgare,vita,0.67
purgare,umano,0.779
