First Word,Second Word,Similarity
pena,essere,0.597
pena,avere,0.699
pena,pensare,0.719
pena,pensiero,0.882
pena,mente,0.594
pena,natura,0.609
pena,anima,0.726
pena,vita,0.6
pena,umano,0.644
pena,nome,0.729
punire,essere,0.675
punire,avere,0.719
punire,pensare,0.776
punire,pensiero,0.905
punire,mente,0.669
punire,natura,0.702
punire,anima,0.797
punire,vita,0.702
punire,umano,0.691
punire,nome,0.792
colpa,essere,0.782
colpa,avere,0.765
colpa,pensare,0.848
colpa,pensiero,0.897
colpa,mente,0.731
colpa,natura,0.751
colpa,anima,0.745
colpa,vita,0.775
colpa,umano,0.654
colpa,nome,0.862
inferno,essere,0.631
inferno,avere,0.675
inferno,pensare,0.697
inferno,pensiero,0.865
inferno,mente,0.672
inferno,natura,0.75
inferno,anima,0.77
inferno,vita,0.726
inferno,umano,0.743
inferno,nome,0.739
appressare,essere,0.622
appressare,avere,0.683
appressare,pensare,0.673
appressare,pensiero,0.869
appressare,mente,0.637
appressare,natura,0.726
appressare,anima,0.757
appressare,vita,0.727
appressare,umano,0.757
appressare,nome,0.711
giusto,essere,0.746
giusto,avere,0.751
giusto,pensare,0.807
giusto,pensiero,0.901
giusto,mente,0.698
giusto,natura,0.738
giusto,anima,0.774
giusto,vita,0.749
giusto,umano,0.702
giusto,nome,0.808
purgare,essere,0.677
purgare,avere,0.731
purgare,pensare,0.705
purgare,pensiero,0.853
purgare,mente,0.585
purgare,natura,0.727
purgare,anima,0.725
purgare,vita,0.67
purgare,umano,0.779
purgare,nome,0.71
