First Word,Second Word,Similarity
peccato,gente,0.697
peccato,persona,0.879
peccato,potere,0.462
peccato,mondo,0.63
peccato,città,0.928
peccato,duca,0.371
peccato,maestro,0.381
peccato,legge,0.975
peccato,regno,0.932
peccato,principe,0.979
peccato,pace,0.932
malvagio,gente,0.7
malvagio,persona,0.871
malvagio,potere,0.544
malvagio,mondo,0.552
malvagio,città,0.956
malvagio,duca,0.429
malvagio,maestro,0.448
malvagio,legge,0.98
malvagio,regno,0.912
malvagio,principe,0.987
malvagio,pace,0.924
peccare,gente,0.664
peccare,persona,0.894
peccare,potere,0.54
peccare,mondo,0.549
peccare,città,0.975
peccare,duca,0.561
peccare,maestro,0.565
peccare,legge,0.973
peccare,regno,0.908
peccare,principe,0.959
peccare,pace,0.944
colpa,gente,0.675
colpa,persona,0.804
colpa,potere,0.679
colpa,mondo,0.604
colpa,città,0.922
colpa,duca,0.546
colpa,maestro,0.614
colpa,legge,0.917
colpa,regno,0.821
colpa,principe,0.86
colpa,pace,0.884
ira,gente,0.721
ira,persona,0.791
ira,potere,0.801
ira,mondo,0.508
ira,città,0.911
ira,duca,0.51
ira,maestro,0.615
ira,legge,0.88
ira,regno,0.779
ira,principe,0.814
ira,pace,0.795
inferno,gente,0.701
inferno,persona,0.895
inferno,potere,0.499
inferno,mondo,0.571
inferno,città,0.955
inferno,duca,0.473
inferno,maestro,0.484
inferno,legge,0.976
inferno,regno,0.927
inferno,principe,0.986
inferno,pace,0.94
martiro,gente,0.669
martiro,persona,0.888
martiro,potere,0.495
martiro,mondo,0.554
martiro,città,0.962
martiro,duca,0.474
martiro,maestro,0.472
martiro,legge,0.98
martiro,regno,0.924
martiro,principe,0.983
martiro,pace,0.939
demonio,gente,0.684
demonio,persona,0.877
demonio,potere,0.54
demonio,mondo,0.517
demonio,città,0.965
demonio,duca,0.497
demonio,maestro,0.504
demonio,legge,0.97
demonio,regno,0.901
demonio,principe,0.97
demonio,pace,0.913
tormento,gente,0.703
tormento,persona,0.844
tormento,potere,0.659
tormento,mondo,0.516
tormento,città,0.96
tormento,duca,0.534
tormento,maestro,0.58
tormento,legge,0.948
tormento,regno,0.854
tormento,principe,0.931
tormento,pace,0.87
piangere,gente,0.655
piangere,persona,0.702
piangere,potere,0.829
piangere,mondo,0.285
piangere,città,0.83
piangere,duca,0.645
piangere,maestro,0.77
piangere,legge,0.739
piangere,regno,0.611
piangere,principe,0.668
piangere,pace,0.649
