First Word,Second Word,Similarity
peccato,corpo,0.858
peccato,viso,0.592
peccato,dire,0.403
peccato,bocca,0.931
peccato,voce,0.707
peccato,vedere,0.7
peccato,vista,0.66
peccato,occhio,0.471
peccato,spirare,0.938
peccato,vita,0.746
peccato,umano,0.822
malvagio,corpo,0.811
malvagio,viso,0.592
malvagio,dire,0.465
malvagio,bocca,0.934
malvagio,voce,0.736
malvagio,vedere,0.716
malvagio,vista,0.671
malvagio,occhio,0.457
malvagio,spirare,0.906
malvagio,vita,0.688
malvagio,umano,0.765
peccare,corpo,0.832
peccare,viso,0.721
peccare,dire,0.533
peccare,bocca,0.951
peccare,voce,0.801
peccare,vedere,0.715
peccare,vista,0.779
peccare,occhio,0.562
peccare,spirare,0.882
peccare,vita,0.765
peccare,umano,0.697
colpa,corpo,0.823
colpa,viso,0.661
colpa,dire,0.578
colpa,bocca,0.862
colpa,voce,0.805
colpa,vedere,0.668
colpa,vista,0.815
colpa,occhio,0.401
colpa,spirare,0.777
colpa,vita,0.775
colpa,umano,0.654
ira,corpo,0.708
ira,viso,0.56
ira,dire,0.708
ira,bocca,0.783
ira,voce,0.757
ira,vedere,0.733
ira,vista,0.752
ira,occhio,0.326
ira,spirare,0.712
ira,vita,0.615
ira,umano,0.61
inferno,corpo,0.853
inferno,viso,0.659
inferno,dire,0.436
inferno,bocca,0.948
inferno,voce,0.753
inferno,vedere,0.738
inferno,vista,0.698
inferno,occhio,0.525
inferno,spirare,0.916
inferno,vita,0.726
inferno,umano,0.743
martiro,corpo,0.826
martiro,viso,0.644
martiro,dire,0.479
martiro,bocca,0.957
martiro,voce,0.773
martiro,vedere,0.697
martiro,vista,0.716
martiro,occhio,0.529
martiro,spirare,0.916
martiro,vita,0.721
martiro,umano,0.743
demonio,corpo,0.798
demonio,viso,0.65
demonio,dire,0.541
demonio,bocca,0.939
demonio,voce,0.776
demonio,vedere,0.722
demonio,vista,0.724
demonio,occhio,0.534
demonio,spirare,0.89
demonio,vita,0.678
demonio,umano,0.713
tormento,corpo,0.764
tormento,viso,0.643
tormento,dire,0.641
tormento,bocca,0.902
tormento,voce,0.794
tormento,vedere,0.749
tormento,vista,0.759
tormento,occhio,0.487
tormento,spirare,0.828
tormento,vita,0.659
tormento,umano,0.686
piangere,corpo,0.558
piangere,viso,0.589
piangere,dire,0.797
piangere,bocca,0.674
piangere,voce,0.778
piangere,vedere,0.711
piangere,vista,0.771
piangere,occhio,0.387
piangere,spirare,0.502
piangere,vita,0.481
piangere,umano,0.352
