First Word,Second Word,Similarity
peccato,essere,0.686
peccato,avere,0.698
peccato,pensare,0.655
peccato,pensiero,0.834
peccato,mente,0.621
peccato,natura,0.764
peccato,anima,0.699
peccato,vita,0.746
peccato,umano,0.822
peccato,nome,0.688
malvagio,essere,0.676
malvagio,avere,0.725
malvagio,pensare,0.716
malvagio,pensiero,0.87
malvagio,mente,0.612
malvagio,natura,0.726
malvagio,anima,0.744
malvagio,vita,0.688
malvagio,umano,0.765
malvagio,nome,0.728
peccare,essere,0.692
peccare,avere,0.707
peccare,pensare,0.755
peccare,pensiero,0.909
peccare,mente,0.735
peccare,natura,0.735
peccare,anima,0.797
peccare,vita,0.765
peccare,umano,0.697
peccare,nome,0.806
colpa,essere,0.782
colpa,avere,0.765
colpa,pensare,0.848
colpa,pensiero,0.897
colpa,mente,0.731
colpa,natura,0.751
colpa,anima,0.745
colpa,vita,0.775
colpa,umano,0.654
colpa,nome,0.862
ira,essere,0.814
ira,avere,0.843
ira,pensare,0.92
ira,pensiero,0.868
ira,mente,0.63
ira,natura,0.626
ira,anima,0.797
ira,vita,0.615
ira,umano,0.61
ira,nome,0.813
inferno,essere,0.631
inferno,avere,0.675
inferno,pensare,0.697
inferno,pensiero,0.865
inferno,mente,0.672
inferno,natura,0.75
inferno,anima,0.77
inferno,vita,0.726
inferno,umano,0.743
inferno,nome,0.739
martiro,essere,0.665
martiro,avere,0.725
martiro,pensare,0.713
martiro,pensiero,0.897
martiro,mente,0.66
martiro,natura,0.717
martiro,anima,0.761
martiro,vita,0.721
martiro,umano,0.743
martiro,nome,0.75
demonio,essere,0.671
demonio,avere,0.733
demonio,pensare,0.744
demonio,pensiero,0.899
demonio,mente,0.662
demonio,natura,0.67
demonio,anima,0.772
demonio,vita,0.678
demonio,umano,0.713
demonio,nome,0.75
tormento,essere,0.731
tormento,avere,0.777
tormento,pensare,0.826
tormento,pensiero,0.897
tormento,mente,0.665
tormento,natura,0.633
tormento,anima,0.755
tormento,vita,0.659
tormento,umano,0.686
tormento,nome,0.784
piangere,essere,0.692
piangere,avere,0.733
piangere,pensare,0.939
piangere,pensiero,0.821
piangere,mente,0.629
piangere,natura,0.441
piangere,anima,0.782
piangere,vita,0.481
piangere,umano,0.352
piangere,nome,0.792
