First Word,Second Word,Similarity
corpo,gente,0.718
corpo,persona,0.86
corpo,potere,0.33
corpo,mondo,0.748
corpo,città,0.797
corpo,duca,0.328
corpo,maestro,0.366
corpo,legge,0.859
corpo,regno,0.916
corpo,principe,0.823
corpo,pace,0.893
viso,gente,0.281
viso,persona,0.657
viso,potere,0.315
viso,mondo,0.257
viso,città,0.719
viso,duca,0.855
viso,maestro,0.776
viso,legge,0.622
viso,regno,0.565
viso,principe,0.591
viso,pace,0.659
dire,gente,0.386
dire,persona,0.453
dire,potere,0.706
dire,mondo,0.056
dire,città,0.607
dire,duca,0.707
dire,maestro,0.782
dire,legge,0.445
dire,regno,0.311
dire,principe,0.365
dire,pace,0.368
bocca,gente,0.548
bocca,persona,0.861
bocca,potere,0.406
bocca,mondo,0.496
bocca,città,0.937
bocca,duca,0.567
bocca,maestro,0.518
bocca,legge,0.936
bocca,regno,0.882
bocca,principe,0.946
bocca,pace,0.934
voce,gente,0.436
voce,persona,0.709
voce,potere,0.498
voce,mondo,0.34
voce,città,0.843
voce,duca,0.79
voce,maestro,0.803
voce,legge,0.746
voce,regno,0.676
voce,principe,0.706
voce,pace,0.779
vedere,gente,0.722
vedere,persona,0.721
vedere,potere,0.547
vedere,mondo,0.468
vedere,città,0.7
vedere,duca,0.32
vedere,maestro,0.43
vedere,legge,0.713
vedere,regno,0.68
vedere,principe,0.685
vedere,pace,0.603
vista,gente,0.399
vista,persona,0.693
vista,potere,0.536
vista,mondo,0.334
vista,città,0.807
vista,duca,0.859
vista,maestro,0.863
vista,legge,0.694
vista,regno,0.615
vista,principe,0.629
vista,pace,0.728
occhio,gente,0.149
occhio,persona,0.56
occhio,potere,0.033
occhio,mondo,0.083
occhio,città,0.553
occhio,duca,0.721
occhio,maestro,0.561
occhio,legge,0.473
occhio,regno,0.455
occhio,principe,0.492
occhio,pace,0.504
spirare,gente,0.641
spirare,persona,0.842
spirare,potere,0.255
spirare,mondo,0.677
spirare,città,0.828
spirare,duca,0.236
spirare,maestro,0.232
spirare,legge,0.913
spirare,regno,0.945
spirare,principe,0.927
spirare,pace,0.918
vita,gente,0.504
vita,persona,0.761
vita,potere,0.261
vita,mondo,0.696
vita,città,0.729
vita,duca,0.425
vita,maestro,0.437
vita,legge,0.753
vita,regno,0.799
vita,principe,0.696
vita,pace,0.847
umano,gente,0.639
umano,persona,0.692
umano,potere,0.26
umano,mondo,0.778
umano,città,0.625
umano,duca,-0.083
umano,maestro,-0.036
umano,legge,0.778
umano,regno,0.817
umano,principe,0.776
umano,pace,0.711
