First Word,Second Word,Similarity
corpo,essere,0.629
corpo,avere,0.571
corpo,pensare,0.582
corpo,pensiero,0.744
corpo,mente,0.667
corpo,natura,0.867
corpo,anima,0.717
corpo,vita,0.857
corpo,umano,0.759
corpo,nome,0.67
viso,essere,0.338
viso,avere,0.391
viso,pensare,0.588
viso,pensiero,0.762
viso,mente,0.926
viso,natura,0.4
viso,anima,0.628
viso,vita,0.661
viso,umano,0.222
viso,nome,0.78
dire,essere,0.549
dire,avere,0.538
dire,pensare,0.825
dire,pensiero,0.657
dire,mente,0.6
dire,natura,0.08
dire,anima,0.59
dire,vita,0.312
dire,umano,0.044
dire,nome,0.69
bocca,essere,0.577
bocca,avere,0.618
bocca,pensare,0.653
bocca,pensiero,0.91
bocca,mente,0.757
bocca,natura,0.692
bocca,anima,0.712
bocca,vita,0.774
bocca,umano,0.647
bocca,nome,0.792
voce,essere,0.557
voce,avere,0.585
voce,pensare,0.778
voce,pensiero,0.911
voce,mente,0.817
voce,natura,0.488
voce,anima,0.72
voce,vita,0.721
voce,umano,0.333
voce,nome,0.872
vedere,essere,0.607
vedere,avere,0.598
vedere,pensare,0.676
vedere,pensiero,0.567
vedere,mente,0.51
vedere,natura,0.515
vedere,anima,0.652
vedere,vita,0.473
vedere,umano,0.61
vedere,nome,0.504
vista,essere,0.629
vista,avere,0.605
vista,pensare,0.811
vista,pensiero,0.885
vista,mente,0.916
vista,natura,0.472
vista,anima,0.715
vista,vita,0.744
vista,umano,0.293
vista,nome,0.905
occhio,essere,0.098
occhio,avere,0.185
occhio,pensare,0.327
occhio,pensiero,0.599
occhio,mente,0.761
occhio,natura,0.191
occhio,anima,0.46
occhio,vita,0.489
occhio,umano,0.126
occhio,nome,0.539
spirare,essere,0.587
spirare,avere,0.597
spirare,pensare,0.494
spirare,pensiero,0.738
spirare,mente,0.541
spirare,natura,0.801
spirare,anima,0.676
spirare,vita,0.746
spirare,umano,0.842
spirare,nome,0.574
vita,essere,0.626
vita,avere,0.497
vita,pensare,0.54
vita,pensiero,0.745
vita,mente,0.739
vita,natura,0.815
vita,anima,0.628
vita,vita,1.0
vita,umano,0.618
vita,nome,0.754
umano,essere,0.62
umano,avere,0.588
umano,pensare,0.357
umano,pensiero,0.493
umano,mente,0.292
umano,natura,0.801
umano,anima,0.427
umano,vita,0.618
umano,umano,1.0
umano,nome,0.348
