First Word,Second Word,Similarity
essere,gente,0.542
essere,persona,0.601
essere,potere,0.66
essere,mondo,0.529
essere,città,0.702
essere,duca,0.283
essere,maestro,0.409
essere,legge,0.696
essere,regno,0.615
essere,principe,0.605
essere,pace,0.64
avere,gente,0.577
avere,persona,0.657
avere,potere,0.713
avere,mondo,0.463
avere,città,0.734
avere,duca,0.318
avere,maestro,0.413
avere,legge,0.726
avere,regno,0.626
avere,principe,0.655
avere,pace,0.634
pensare,gente,0.644
pensare,persona,0.686
pensare,potere,0.862
pensare,mondo,0.381
pensare,città,0.814
pensare,duca,0.636
pensare,maestro,0.77
pensare,legge,0.719
pensare,regno,0.6
pensare,principe,0.625
pensare,pace,0.646
pensiero,gente,0.544
pensiero,persona,0.816
pensiero,potere,0.569
pensiero,mondo,0.429
pensiero,città,0.945
pensiero,duca,0.687
pensiero,maestro,0.688
pensiero,legge,0.875
pensiero,regno,0.8
pensiero,principe,0.841
pensiero,pace,0.881
mente,gente,0.362
mente,persona,0.688
mente,potere,0.394
mente,mondo,0.356
mente,città,0.735
mente,duca,0.813
mente,maestro,0.771
mente,legge,0.645
mente,regno,0.605
mente,principe,0.596
mente,pace,0.689
natura,gente,0.64
natura,persona,0.766
natura,potere,0.3
natura,mondo,0.773
natura,città,0.681
natura,duca,0.119
natura,maestro,0.174
natura,legge,0.794
natura,regno,0.837
natura,principe,0.747
natura,pace,0.818
anima,gente,0.7
anima,persona,0.851
anima,potere,0.543
anima,mondo,0.428
anima,città,0.818
anima,duca,0.537
anima,maestro,0.599
anima,legge,0.762
anima,regno,0.757
anima,principe,0.706
anima,pace,0.77
vita,gente,0.504
vita,persona,0.761
vita,potere,0.261
vita,mondo,0.696
vita,città,0.729
vita,duca,0.425
vita,maestro,0.437
vita,legge,0.753
vita,regno,0.799
vita,principe,0.696
vita,pace,0.847
umano,gente,0.639
umano,persona,0.692
umano,potere,0.26
umano,mondo,0.778
umano,città,0.625
umano,duca,-0.083
umano,maestro,-0.036
umano,legge,0.778
umano,regno,0.817
umano,principe,0.776
umano,pace,0.711
nome,gente,0.496
nome,persona,0.732
nome,potere,0.636
nome,mondo,0.438
nome,città,0.841
nome,duca,0.742
nome,maestro,0.77
nome,legge,0.755
nome,regno,0.676
nome,principe,0.679
nome,pace,0.775
