First Word,Second Word,Similarity
essere,essere,1.0
essere,avere,0.781
essere,pensare,0.766
essere,pensiero,0.661
essere,mente,0.486
essere,natura,0.605
essere,anima,0.577
essere,vita,0.626
essere,umano,0.62
essere,nome,0.645
avere,essere,0.781
avere,avere,1.0
avere,pensare,0.79
avere,pensiero,0.711
avere,mente,0.475
avere,natura,0.538
avere,anima,0.615
avere,vita,0.497
avere,umano,0.588
avere,nome,0.659
pensare,essere,0.766
pensare,avere,0.79
pensare,pensare,1.0
pensare,pensiero,0.83
pensare,mente,0.668
pensare,natura,0.443
pensare,anima,0.775
pensare,vita,0.54
pensare,umano,0.357
pensare,nome,0.863
pensiero,essere,0.661
pensiero,avere,0.711
pensiero,pensare,0.83
pensiero,pensiero,1.0
pensiero,mente,0.798
pensiero,natura,0.605
pensiero,anima,0.796
pensiero,vita,0.745
pensiero,umano,0.493
pensiero,nome,0.921
mente,essere,0.486
mente,avere,0.475
mente,pensare,0.668
mente,pensiero,0.798
mente,mente,1.0
mente,natura,0.488
mente,anima,0.66
mente,vita,0.739
mente,umano,0.292
mente,nome,0.841
natura,essere,0.605
natura,avere,0.538
natura,pensare,0.443
natura,pensiero,0.605
natura,mente,0.488
natura,natura,1.0
natura,anima,0.608
natura,vita,0.815
natura,umano,0.801
natura,nome,0.564
anima,essere,0.577
anima,avere,0.615
anima,pensare,0.775
anima,pensiero,0.796
anima,mente,0.66
anima,natura,0.608
anima,anima,1.0
anima,vita,0.628
anima,umano,0.427
anima,nome,0.768
vita,essere,0.626
vita,avere,0.497
vita,pensare,0.54
vita,pensiero,0.745
vita,mente,0.739
vita,natura,0.815
vita,anima,0.628
vita,vita,1.0
vita,umano,0.618
vita,nome,0.754
umano,essere,0.62
umano,avere,0.588
umano,pensare,0.357
umano,pensiero,0.493
umano,mente,0.292
umano,natura,0.801
umano,anima,0.427
umano,vita,0.618
umano,umano,1.0
umano,nome,0.348
nome,essere,0.645
nome,avere,0.659
nome,pensare,0.863
nome,pensiero,0.921
nome,mente,0.841
nome,natura,0.564
nome,anima,0.768
nome,vita,0.754
nome,umano,0.348
nome,nome,1.0
